Battery Level,Elapsed Time
100,0.0
100,1.0
100,45.0
100,60.0
100,68.0
100,74.0
100,77.0
100,77.0
100,81.0
100,81.0
100,81.0
100,81.0
100,82.0
100,120.0
100,127.0
100,129.0
100,133.0
100,133.0
100,180.0
100,187.0
100,189.0
100,192.0
100,192.0
100,240.0
100,249.0
100,251.0
100,255.0
100,255.0
100,300.0
100,317.0
100,319.0
100,323.0
100,323.0
100,360.0
100,391.0
100,393.0
100,397.0
100,397.0
100,420.0
100,465.0
100,467.0
100,472.0
100,472.0
100,480.0
100,540.0
100,542.0
100,544.0
100,548.0
100,548.0
100,600.0
100,620.0
100,622.0
100,627.0
100,627.0
100,660.0
100,701.0
100,703.0
100,708.0
100,708.0
100,720.0
99,780.0
99,784.0
99,786.0
99,791.0
99,791.0
99,840.0
99,866.0
99,868.0
99,873.0
99,873.0
99,900.0
98,950.0
98,952.0
98,957.0
98,957.0
98,960.0
98,1020.0
98,1035.0
98,1037.0
97,1043.0
97,1043.0
97,1080.0
97,1122.0
97,1125.0
97,1130.0
97,1130.0
97,1140.0
96,1200.0
96,1209.0
96,1212.0
96,1217.0
96,1217.0
96,1260.0
96,1297.0
96,1300.0
96,1305.0
96,1305.0
96,1320.0
95,1380.0
95,1386.0
95,1388.0
95,1394.0
95,1394.0
95,1440.0
94,1476.0
94,1478.0
94,1484.0
94,1484.0
94,1500.0
94,1560.0
94,1566.0
94,1568.0
94,1574.0
94,1574.0
93,1620.0
93,1657.0
93,1659.0
93,1665.0
93,1665.0
93,1680.0
92,1740.0
92,1750.0
92,1752.0
92,1758.0
92,1758.0
92,1800.0
92,1842.0
92,1844.0
92,1850.0
92,1850.0
92,1860.0
91,1920.0
91,1935.0
91,1938.0
91,1944.0
91,1944.0
91,1980.0
90,2029.0
90,2031.0
90,2037.0
90,2037.0
90,2040.0
90,2100.0
89,2123.0
89,2125.0
89,2131.0
89,2131.0
89,2160.0
89,2217.0
89,2220.0
89,2220.0
89,2225.0
89,2225.0
88,2280.0
88,2311.0
88,2313.0
88,2319.0
88,2319.0
88,2340.0
87,2400.0
87,2406.0
87,2408.0
87,2415.0
87,2415.0
87,2460.0
87,2502.0
87,2504.0
87,2510.0
87,2510.0
87,2520.0
86,2580.0
86,2599.0
86,2601.0
86,2608.0
86,2608.0
86,2640.0
85,2697.0
85,2699.0
85,2700.0
85,2705.0
85,2705.0
85,2760.0
84,2793.0
84,2796.0
84,2802.0
84,2802.0
84,2820.0
84,2880.0
84,2892.0
84,2894.0
84,2901.0
84,2901.0
83,2940.0
83,2990.0
83,2993.0
83,2999.0
83,2999.0
83,3000.0
82,3060.0
82,3089.0
82,3092.0
82,3098.0
82,3098.0
82,3120.0
81,3180.0
81,3189.0
81,3192.0
81,3198.0
81,3198.0
81,3240.0
81,3289.0
81,3291.0
81,3298.0
81,3298.0
81,3300.0
80,3360.0
80,3388.0
80,3391.0
80,3398.0
80,3398.0
80,3420.0
79,3480.0
79,3490.0
79,3492.0
79,3499.0
79,3499.0
79,3540.0
78,3591.0
78,3594.0
78,3600.0
78,3600.0
78,3600.0
78,3660.0
77,3693.0
77,3696.0
77,3703.0
77,3703.0
77,3720.0
77,3780.0
77,3796.0
77,3798.0
77,3805.0
77,3805.0
76,3840.0
76,3898.0
76,3900.0
76,3901.0
76,3907.0
76,3907.0
75,3960.0
