round,per_time,total_time
1,59.47640581,59.47640581
2,69.61691566,129.0933215
3,72.12963958,201.2229611
4,78.06116791,279.284129
5,83.48190708,362.766036
6,84.82884688,447.5948829
7,86.11811204,533.712995
8,88.49042888,622.2034238
9,90.69825692,712.9016808
10,92.72413893,805.6258197
11,92.58801384,898.2138335
12,93.33323093,991.5470645
13,95.58552594,1087.13259
14,96.86356206,1183.996152
15,96.79614802,1280.7923
16,97.66653509,1378.458836
17,98.90235705,1477.361193
18,99.71056171,1577.071754
19,99.92967005,1677.001424
20,100.8068912,1777.808316
21,102.6166939,1880.425009
22,102.3708722,1982.795882
23,103.3235879,2086.11947
24,103.2738998,2189.393369
25,103.9051437,2293.298513
26,103.9820711,2397.280584
27,103.850825,2501.131409
28,105.2321019,2606.363511
29,105.4240021,2711.787513
30,106.9477129,2818.735226
31,107.7224428,2926.457669
32,106.986206,3033.443875
33,108.0169949,3141.46087
34,108.5669069,3250.027777
35,108.7217459,3358.749522
36,109.943017,3468.692539
37,109.1382532,3577.830793
38,110.6918847,3688.522677
39,110.1656398,3798.688317
40,111.0756511,3909.763968
41,112.7525551,4022.516523
42,112.100449,4134.616972
43,112.0247798,4246.641752
44,112.0159199,4358.657672
45,111.911823,4470.569495
46,112.278763,4582.848258
47,112.9324407,4695.780699
48,113.4321959,4809.212895
49,113.6059689,4922.818864
50,114.3825311,5037.201395
51,114.2876491,5151.489044
52,114.407541,5265.896585
53,115.7694129,5381.665998
54,118.911659,5500.577657
55,117.023122,5617.600779
56,117.5899219,5735.190701
57,117.1169679,5852.307668
58,117.1048367,5969.412505
59,116.7241208,6086.136626
60,117.15,6203.286626
61,117.4636039,6320.75023
62,117.4643662,6438.214596
63,118.675342,6556.889938
64,118.5965168,6675.486455
65,118.776932,6794.263387
66,119.5232291,6913.786616
67,120.3521697,7034.138786
68,119.5181043,7153.65689
69,120.9189231,7274.575813
70,121.2961361,7395.871949
71,121.9197697,7517.791719
72,121.3572859,7639.149005
73,121.8306188,7760.979624
74,121.8998649,7882.879488
75,124.1535997,8007.033088
76,124.4558391,8131.488927
77,123.6808798,8255.169807
78,122.7588617,8377.928669
79,122.1191878,8500.047857
80,123.9086842,8623.956541
81,122.4922657,8746.448806
82,124.3570079,8870.805814
83,123.9556412,8994.761456
84,123.8226068,9118.584062
85,122.2572379,9240.8413
86,121.3810787,9362.222379
87,119.3082761,9481.530655
88,120.270498,9601.801153
89,120.0405018,9721.841655
90,120.4859468,9842.327602
91,118.8437149,9961.171317
92,119.5517339,10080.72305
93,119.968661,10200.69171
94,120.9937291,10321.68544
95,118.7726411,10440.45808
96,118.4333269,10558.89141
97,120.5999939,10679.4914
98,119.6894102,10799.18081
99,120.2142071,10919.39502
100,120.6034767,11039.9985
