Round,Time [s],Loss,Accuracy
1,0,2.300835036,0.1108
2,248.3210817,2.28873439,0.1462
3,501.0527475,2.178086162,0.2184
4,717.6860907,2.026828551,0.2557
5,934.5382883,1.955608417,0.2848
6,1211.003226,1.874391181,0.3167
7,1527.441217,1.787474446,0.3426
8,1734.572291,1.693254953,0.3895
9,1941.439777,1.6209249,0.4079
10,2204.30692,1.56323251,0.4261
11,2443.557795,1.524823036,0.4469
12,2718.643255,1.490818836,0.4609
13,2960.034216,1.456379465,0.4751
14,3259.844245,1.440645198,0.4791
15,3476.463922,1.40598131,0.4901
