Round,Real Time[s],Sim Time[s],Accuracy,Loss,receved,failue,p_rate[%]
1,180.176058958,15,0.10621062106210623,2.2998950481414795,6,15,28.57142857142857
2,471.502702291,30,0.1769176917691769,2.2906484603881836,14,21,40.0
3,797.642959833,45,0.1981198119811981,2.2209689617156982,18,17,51.42857142857142
4,1141.886160791,60,0.2887288728872887,1.9965673685073853,19,16,54.285714285714285
5,1489.389416041,75,0.32553255325532554,1.8905481100082397,17,18,48.57142857142857
6,1855.434474625,90,0.35453545354535454,1.797875165939331,19,16,54.285714285714285
7,2190.230734083,105,0.38413841384138414,1.7062243223190308,17,18,48.57142857142857
8,2529.854566041,120,0.4049404940494049,1.6298117637634277,14,21,40.0
9,2850.237518583,135,0.4223422342234223,1.5773680210113525,16,19,45.714285714285715
10,3193.692968708,150,0.43674367436743666,1.5385233163833618,16,19,45.714285714285715
11,3538.013340208,165,0.45124512451245136,1.504315972328186,18,17,51.42857142857142
12,3850.980062666,180,0.46724672467246725,1.4741679430007935,15,20,42.857142857142854
13,4180.045916666,195,0.4743474347434742,1.4484233856201172,15,20,42.857142857142854
14,4560.229013875,210,0.48164816481648165,1.4253774881362915,16,19,45.714285714285715
15,4871.187663958,225,0.48924892489248917,1.4032578468322754,17,18,48.57142857142857
16,5159.358064875,240,0.4984498449844985,1.3849741220474243,16,19,45.714285714285715
17,5446.966325291,255,0.5041504150415042,1.3677321672439575,16,19,45.714285714285715
18,5742.137120583,270,0.5133513351335133,1.3507050275802612,15,20,42.857142857142854
19,6027.569192083,285,0.5189518951895187,1.3353978395462036,15,20,42.857142857142854
20,6312.047952333,300,0.5247524752475246,1.318697452545166,14,21,40.0
21,6598.412380541,315,0.5318531853185319,1.3024007081985474,16,19,45.714285714285715
22,6875.786993708,330,0.5366536653665367,1.2856796979904175,17,18,48.57142857142857
23,7152.665516166,345,0.5426542654265426,1.2682921886444092,15,20,42.857142857142854
24,7433.351691333,360,0.5465546554655466,1.2530200481414795,16,19,45.714285714285715
25,7714.482669958,375,0.553955395539554,1.2367503643035889,17,18,48.57142857142857
26,8002.909630666,390,0.557955795579558,1.221582293510437,16,19,45.714285714285715
27,8282.493679958,405,0.5639563956395639,1.2078850269317627,16,19,45.714285714285715
28,8574.911290541,420,0.5674567456745675,1.1943644285202026,15,20,42.857142857142854
29,8860.094919083,435,0.5713571357135714,1.1828651428222656,16,19,45.714285714285715
30,9137.8023885,450,0.5774577457745774,1.1724928617477417,17,18,48.57142857142857
31,9420.148949375,465,0.5820582058205821,1.1624832153320312,18,17,51.42857142857142
32,9703.666667625,480,0.5854585458545855,1.1521227359771729,19,16,54.285714285714285
33,9980.634093,495,0.5915591559155916,1.1440938711166382,15,20,42.857142857142854
34,10262.886325375,510,0.5919591959195921,1.1367504596710205,18,17,51.42857142857142
35,10547.327247833,525,0.5959595959595959,1.12936532497406,14,21,40.0
36,10834.475872,540,0.5990599059905991,1.122896432876587,16,19,45.714285714285715
37,11118.529470125,555,0.6007600760076007,1.116064429283142,15,20,42.857142857142854
38,11413.657705,570,0.605060506050605,1.1098343133926392,14,21,40.0
39,11707.234077916,585,0.6083608360836084,1.1040408611297607,17,18,48.57142857142857
40,11993.0175495,600,0.6137613761376137,1.0988413095474243,17,18,48.57142857142857
41,12291.563068583,615,0.6144614461446145,1.093473196029663,18,17,51.42857142857142
42,12630.66342775,630,0.6173617361736172,1.0889437198638916,15,20,42.857142857142854
43,12957.362022708,645,0.6192619261926192,1.0840656757354736,18,17,51.42857142857142
44,13262.8038705,660,0.6207620762076208,1.079832673072815,16,19,45.714285714285715
45,13574.610945625,675,0.6232623262326232,1.074778437614441,17,18,48.57142857142857
46,13905.612561541,690,0.6250625062506251,1.0719975233078003,16,19,45.714285714285715
47,14271.757315541,705,0.6273627362736274,1.0674338340759277,17,18,48.57142857142857
48,14617.260177583,720,0.6295629562956295,1.06279718875885,16,19,45.714285714285715
49,14978.427573375,735,0.6308630863086309,1.0596637725830078,16,19,45.714285714285715
50,15327.796081291,750,0.6305630563056307,1.0583932399749756,15,20,42.857142857142854
51,15647.419334,765,0.6335633563356335,1.05398690700531,16,19,45.714285714285715
52,15951.251875958,780,0.634963496349635,1.0512653589248657,16,19,45.714285714285715
53,16285.781288458,795,0.637063706370637,1.0479772090911865,17,18,48.57142857142857
54,16604.2870295,810,0.6381638163816382,1.0446796417236328,13,22,37.142857142857146
