Round,Sim Time [s],Loss,Accuracy,prog [%]
1,31,2.3018889318704607,0.09530953095309531,100.0
2,90,2.299839229655266,0.15291529152915292,100.0
3,149,inf,0,0
4,208,inf,0,0
5,268,2.1285775988817215,0.2508250825082508,100.0
6,327,1.9231021434485913,0.309030903090309,100.0
7,386,1.7985221458464862,0.3485348534853485,100.0
8,445,inf,0,0
9,505,1.6184233938589692,0.40564056405640564,100.0
10,564,1.5654452278219164,0.42564256425642566,100.0
11,623,1.5267317277692258,0.44074407440744073,100.0
12,682,inf,0,0
13,742,1.4729227091543375,0.46584658465846585,100.0
14,801,1.4492010344402864,0.47574757475747576,100.0
15,860,1.4263491827458143,0.48324832483248326,100.0
16,919,inf,0,0
17,978,inf,0,0
18,1038,1.363010632940801,0.5077507750775078,100.0
19,1097,1.3443417790850158,0.5163516351635163,100.0
20,1156,inf,0,0
21,1215,inf,0,0
22,1275,1.2944602667462546,0.5344534453445344,100.0
23,1334,1.2802990320538403,0.5351535153515351,100.0
24,1393,1.2658206241806271,0.5425542554255426,100.0
25,1452,inf,0,0
26,1512,1.2390931257153746,0.5505550555055505,100.0
27,1571,1.2268206103881938,0.5567556755675568,100.0
28,1630,1.2152766603427938,0.56005600560056,100.0
29,1689,inf,0,0
30,1749,1.1935690873850662,0.5705570557055706,100.0
31,1808,1.1820538451200293,0.5735573557355735,100.0
32,1867,1.1728519373337534,0.5795579557955796,100.0
33,1926,inf,0,0
34,1985,inf,0,0
35,2045,1.146445526932538,0.5878587858785879,100.0
36,2104,1.1381460538054118,0.5927592759275928,100.0
37,2163,inf,0,0
38,2222,inf,0,0
39,2282,1.1178828806435093,0.6007600760076007,100.0
40,2341,1.1116476376874693,0.6028602860286029,100.0
41,2400,inf,0,0
42,2459,inf,0,0
43,2519,1.0949286798094342,0.6107610761076108,100.0
44,2578,1.0911217338419177,0.6104610461046105,100.0
45,2637,1.0866027386794122,0.6107610761076108,100.0
46,2696,inf,0,0
47,2756,1.0776106695388066,0.6152615261526153,100.0
48,2815,1.0751133143058573,0.6181618161816181,100.0
49,2874,1.0713995972008263,0.6197619761976197,100.0
50,2933,inf,0,0
51,2992,inf,0,0
52,3052,1.0622312054771434,0.6222622262226223,100.0
53,3111,1.0583320394881732,0.6259625962596259,100.0
54,3170,inf,0,0
55,3229,inf,0,0
56,3289,1.0523799087332597,0.6270627062706271,100.0
57,3348,1.0508294692626439,0.6282628262826283,100.0
58,3407,inf,0,0
59,3466,inf,0,0
60,3526,1.0460424969253768,0.6340634063406341,100.0
61,3585,1.044395816937709,0.6341634163416342,100.0
62,3644,1.0444317957907625,0.6346634663466346,100.0
63,3703,inf,0,0
64,3763,1.0428627869962235,0.6376637663766377,100.0
65,3822,1.0419744583202295,0.6383638363836384,100.0
66,3881,1.0412018261949731,0.6384638463846385,100.0
67,3940,inf,0,0
68,4000,1.042172383273588,0.6420642064206421,100.0
69,4059,1.041938364975088,0.6420642064206421,100.0
70,4118,1.043764854551957,0.6414641464146414,100.0
71,4177,inf,0,0
72,4236,inf,0,0
73,4296,1.0438237432180633,0.6436643664366437,100.0
74,4355,1.0458172437796625,0.6431643164316432,100.0
75,4414,inf,0,0
76,4473,inf,0,0
77,4533,1.0501977488494902,0.6436643664366437,100.0
78,4592,1.0526436617744495,0.6454645464546455,100.0
79,4651,1.0538955324466122,0.6449644964496449,100.0
80,4710,inf,0,0
81,4770,1.0593226018024948,0.6460646064606461,100.0
82,4829,1.0625656314066065,0.6429642964296429,100.0
83,4888,1.0638482526428208,0.645964596459646,100.0
84,4947,inf,0,0
85,5007,1.069486902106914,0.6444644464446445,100.0
86,5066,1.0729462456118837,0.6437643764376437,100.0
87,5125,1.0778341975658143,0.6426642664266426,100.0
88,5184,inf,0,0
89,5243,inf,0,0
90,5303,1.0873258359357312,0.6436643664366437,100.0
91,5362,1.0915953240958491,0.6429642964296429,100.0
92,5421,inf,0,0
93,5480,inf,0,0
94,5540,1.1026313809162254,0.6444644464446445,100.0
95,5599,1.107185491878969,0.6436643664366437,100.0
96,5658,inf,0,0
97,5717,inf,0,0
98,5777,1.1203913202643112,0.6412641264126413,100.0
99,5836,1.1275277073923793,0.6415641564156416,100.0
100,5895,1.1312615855734736,0.6412641264126413,100.0
