Round,Real Time[s],Sim Time[s],Accuracy,Loss,Precision,Recall,F-score,received,failure,p_rate[%]
1,83.505419041,30,0.09890989098909891,2.3020219802856445,0.03019602713734177,0.09890989098909891,0.024882078337335634,1,0,100.0
2,158.160664958,60,0.12181218121812183,2.298943042755127,0.05267046936144838,0.12181218121812182,0.04479149787507603,1,0,100.0
3,233.816915583,90,0.1638163816381638,2.288830280303955,0.13964211189505085,0.1638163816381638,0.09311613867349444,1,0,100.0
4,314.7814365,120,0.20192019201920192,2.1808602809906006,0.1768255979251147,0.20192019201920192,0.1425365367000925,1,0,100.0
5,397.73334625,150,0.26432643264326433,2.020895481109619,0.35144726192836556,0.26432643264326433,0.21898436602194477,1,0,100.0
6,481.112575125,180,0.2954295429542954,1.9276951551437378,0.2849961439607568,0.2954295429542954,0.2543526478617497,1,0,100.0
7,561.338815958,210,0.3335333533353335,1.8415762186050415,0.32792045788094176,0.3335333533353335,0.30758699511138565,1,0,100.0
8,641.04919275,240,0.36823682368236826,1.7310006618499756,0.3532583291578459,0.36823682368236826,0.35499197454481757,1,0,100.0
9,729.336386791,270,0.38803880388038803,1.6514699459075928,0.3781216827588474,0.38803880388038803,0.37358947336394965,1,0,100.0
10,815.82704975,300,0.414041404140414,1.5966606140136719,0.40626009621489095,0.414041404140414,0.40172338997012297,1,0,100.0
11,898.210524458,330,0.43454345434543457,1.5479581356048584,0.4300788204422901,0.43454345434543457,0.42122969548345585,1,0,100.0
12,975.147276375,360,0.45374537453745367,1.508032202720642,0.4474501325003903,0.4537453745374537,0.4444730825225807,1,0,100.0
13,1051.670596916,390,0.4694469446944695,1.4743824005126953,0.46157880710648364,0.46944694469446946,0.46047627896067034,1,0,100.0
14,1128.257706291,420,0.4850485048504851,1.4388978481292725,0.4774328180390774,0.48504850485048506,0.47609703953643856,1,0,100.0
15,1206.062859208,450,0.49124912491249123,1.4085965156555176,0.48460795294698117,0.49124912491249123,0.48169135130415325,1,0,100.0
16,1285.627345916,480,0.49334933493349337,1.4021713733673096,0.5001481696451191,0.49334933493349337,0.4904944177282085,1,0,100.0
17,1362.3243275,510,0.49164916491649163,1.4058167934417725,0.492551965557965,0.49164916491649163,0.4799818117176496,1,0,100.0
