Round,Real Time[s],Sim Time[s],Accuracy,Loss,receved,failue,p_rate[%]
1,154.0148699,35,0.101274341,1.924251364,28,0,100
2,384.6210968,70,0.184926935,1.834157001,34,0,100
3,629.4431193,105,0.21355482,1.711280455,34,0,100
4,874.4826121,140,0.274832931,1.624261012,34,0,100
5,1118.843593,175,0.317446182,1.607926625,34,0,100
6,1382.455646,210,0.350404334,1.533989756,34,0,100
7,1641.083222,245,0.378242981,1.459881744,34,0,100
8,1899.898498,280,0.399183236,1.395056055,34,0,100
9,2158.910453,315,0.422666905,1.355367478,34,0,100
10,2418.509581,350,0.441366154,1.320539422,34,0,100
11,2678.561645,385,0.459588043,1.282908895,34,0,100
12,2938.181411,420,0.475070004,1.254300735,34,0,100
13,3200.706622,455,0.487111331,1.226219097,34,0,100
14,3461.664808,490,0.497197298,1.203289537,34,0,100
15,3723.097695,525,0.506341797,1.181911651,34,0,100
16,3984.983965,560,0.514786578,1.155801468,34,0,100
17,4247.357631,595,0.521799209,1.145892217,34,0,100
18,4509.329788,630,0.529274875,1.126149444,34,0,100
19,4770.245222,665,0.538569819,1.112200032,34,0,100
20,5032.604211,700,0.544562142,1.099552382,34,0,100
21,5295.027533,735,0.545824763,1.082737558,34,0,100
22,5559.197845,770,0.553192703,1.070940556,34,0,100
23,5819.217462,805,0.556845726,1.05796589,34,0,100
24,6078.239414,840,0.56307348,1.046904792,34,0,100
25,6344.962977,875,0.5694571,1.035466036,34,0,100
26,6604.885043,910,0.572742244,1.022880726,34,0,100
27,6866.942369,945,0.57864945,1.016125406,34,0,100
28,7130.400954,980,0.58090664,1.010334216,34,0,100
29,7391.977143,1015,0.585300298,0.99909376,34,0,100
30,7651.557182,1050,0.590865413,0.99020645,34,0,100
31,7914.004212,1085,0.595031172,0.982106907,34,0,100
32,8175.194979,1120,0.599372407,0.978379316,34,0,100
33,8437.9248,1155,0.602660911,0.968036753,34,0,100
34,8699.700324,1190,0.606640914,0.965223496,34,0,100
35,8959.157915,1225,0.610747523,0.959323182,34,0,100
36,9217.798402,1260,0.613497086,0.953195714,34,0,100
37,9477.113878,1295,0.615886621,0.951911344,34,0,100
38,9735.38766,1330,0.616353632,0.950637565,34,0,100
39,9996.429173,1365,0.616484815,0.946026304,34,0,100
40,10258.68895,1400,0.618950865,0.943578487,34,0,100
41,10519.10158,1435,0.620157878,0.940148755,34,0,100
42,10780.20039,1470,0.622797576,0.938956818,34,0,100
43,11010.84394,1505,0.624231627,0.935263616,34,0,100
44,11235.28398,1540,0.624273878,0.93322229,34,0,100
45,11460.60268,1575,0.62522718,0.93153979,34,0,100
46,11685.34957,1610,0.627546335,0.931517422,34,0,100
47,11914.44999,1645,0.630140363,0.927371875,34,0,100
48,12138.72628,1680,0.630773886,0.926380564,34,0,100
49,12365.87347,1715,0.632939012,0.921674825,34,0,100
50,12590.90014,1750,0.635408581,0.920209532,34,0,100
51,12816.79189,1785,0.636985931,0.917780168,34,0,100
52,13042.23789,1820,0.639842776,0.917532179,34,0,100
53,13267.52076,1855,0.639876761,0.916181841,34,0,100
54,13493.87789,1890,0.639913755,0.911518384,34,0,100
55,13721.86644,1925,0.641297362,0.908944784,34,0,100
56,13946.92737,1960,0.64341977,0.90863599,34,0,100
57,14172.6071,1995,0.644188903,0.906675225,34,0,100
58,14397.27463,2030,0.644876414,0.906300769,34,0,100
59,14623.42286,2065,0.645836478,0.90490729,34,0,100
60,14851.79261,2100,0.646127086,0.90416828,34,0,100
