Round,Real Time[s],Sim Time[s],Accuracy,Loss,Precision,Recall,F-score,received,failure,p_rate[%],
1,422.4723209,35,0.152952572,1.53701041,0.070990679,0.144952572,0.077812027,29,0,100,0.160952572
2,1074.227688,70,0.166688808,1.893984595,0.118880967,0.158688808,0.101812696,35,0,100,0.174688808
3,1741.397258,105,0.276421332,1.754602868,0.250951426,0.268421332,0.235890359,35,0,100,0.284421332
4,2401.985525,140,0.318556485,1.642757194,0.288614723,0.310556485,0.286394483,35,0,100,0.326556485
5,3061.021058,175,0.340714527,1.563470299,0.317091603,0.332714527,0.308880139,35,0,100,0.348714527
6,3717.184218,210,0.36932103,1.498998877,0.350223134,0.36132103,0.344809395,35,0,100,0.37732103
7,4373.1149,245,0.39659609,1.442331294,0.380041253,0.38859609,0.377937676,35,0,100,0.40459609
8,5032.060403,280,0.415436619,1.385223348,0.399908479,0.407436619,0.39762631,35,0,100,0.423436619
9,5692.270874,315,0.434203845,1.351551574,0.418128573,0.426203845,0.417889669,35,0,100,0.442203845
10,6356.772109,350,0.446683802,1.324711967,0.430485423,0.438683802,0.430458251,35,0,100,0.454683802
11,7015.013642,385,0.46174071,1.287997709,0.44645618,0.45374071,0.446062619,35,0,100,0.46974071
12,7675.356328,420,0.473549847,1.263421777,0.458028098,0.465549847,0.457856598,35,0,100,0.481549847
13,8331.267205,455,0.48406425,1.242444924,0.470187875,0.47606425,0.469416811,35,0,100,0.49206425
14,8991.452886,490,0.497215897,1.221511418,0.483731927,0.489215897,0.482817613,35,0,100,0.505215897
15,9654.224624,525,0.507029739,1.200465325,0.493251417,0.499029739,0.492967519,35,0,100,0.515029739
16,10310.1084,560,0.515195755,1.174367915,0.501074195,0.507195755,0.501697151,35,0,100,0.523195755
17,10977.59373,595,0.523601222,1.162271758,0.510563702,0.515601222,0.510058541,35,0,100,0.531601222
18,11640.1049,630,0.532350151,1.141431907,0.518639129,0.524350151,0.519104481,35,0,100,0.540350151
19,12302.24375,665,0.537671884,1.127494294,0.523241162,0.529671884,0.523578043,35,0,100,0.545671884
20,12965.22037,700,0.546998605,1.112570688,0.534067301,0.538998605,0.534051833,35,0,100,0.554998605
21,13629.96403,735,0.550643483,1.094429718,0.535798967,0.542643483,0.536642506,35,0,100,0.558643483
22,14295.84725,770,0.556204221,1.085880729,0.542901585,0.548204221,0.542413518,35,0,100,0.564204221
23,14960.39892,805,0.561465702,1.070298283,0.546972897,0.553465702,0.54812313,35,0,100,0.569465702
24,15634.33017,840,0.566231056,1.060021547,0.551366194,0.558231056,0.552357832,35,0,100,0.574231056
25,16315.32958,875,0.570912555,1.045957957,0.556026483,0.562912555,0.55788446,35,0,100,0.578912555
26,16980.04199,910,0.576062597,1.033771494,0.562183047,0.568062597,0.563446438,35,0,100,0.584062597
27,17640.02688,945,0.583164267,1.028314606,0.569214438,0.575164267,0.57025257,35,0,100,0.591164267
28,18304.96595,980,0.587081765,1.020173119,0.57426355,0.579081765,0.575287826,35,0,100,0.595081765
29,18959.43829,1015,0.591599099,1.009146214,0.579349253,0.583599099,0.580337769,35,0,100,0.599599099
30,19616.76628,1050,0.596910928,0.999846821,0.583757851,0.588910928,0.58512559,35,0,100,0.604910928
31,20278.38343,1085,0.600067007,0.991816764,0.587676443,0.592067007,0.588868067,35,0,100,0.608067007
32,20945.99923,1120,0.604671431,0.98780398,0.591681772,0.596671431,0.593173648,35,0,100,0.612671431
33,21609.12776,1155,0.607777202,0.978376303,0.595532377,0.599777202,0.596562309,35,0,100,0.615777202
34,22277.55036,1190,0.610871069,0.97311899,0.597766171,0.602871069,0.599506378,35,0,100,0.618871069
35,22938.2608,1225,0.616136485,0.962766031,0.603469894,0.608457301,0.605121916,35,0,100,0.624136485
36,23601.21459,1260,0.616457301,0.955897393,0.60306403,0.608136485,0.604624379,35,0,100,0.624457301
37,24261.63715,1295,0.619046836,0.951656878,0.607288784,0.611046836,0.608516537,35,0,100,0.627046836
38,24923.93152,1330,0.622171218,0.943393333,0.610488533,0.614171218,0.611638753,35,0,100,0.630171218
39,25596.25464,1365,0.623249206,0.945190331,0.610310278,0.615249206,0.611694252,35,0,100,0.631249206
40,26265.67158,1400,0.625064636,0.940891714,0.612656308,0.617064636,0.613953648,35,0,100,0.633064636
41,26927.75222,1435,0.626786419,0.937750179,0.613662785,0.618786419,0.615025863,35,0,100,0.634786419
42,27611.20615,1470,0.627749434,0.931512567,0.615826035,0.619749434,0.617227976,35,0,100,0.635749434
43,28297.76601,1505,0.628772842,0.928820215,0.617734345,0.620772842,0.618693671,35,0,100,0.636772842
44,28961.07378,1540,0.63156675,0.922804752,0.619204764,0.62356675,0.620639386,35,0,100,0.63956675
45,29637.03723,1575,0.632571886,0.921623548,0.620947173,0.624571886,0.622011174,35,0,100,0.640571886
46,30299.51553,1610,0.636358099,0.921643158,0.624553454,0.628392993,0.625690055,35,0,100,0.644358099
47,30960.56396,1645,0.636392993,0.918844473,0.625523044,0.628358099,0.626581848,35,0,100,0.644392993
48,31621.68645,1680,0.637814353,0.913838969,0.626898777,0.630094754,0.627802027,35,0,100,0.645814353
49,32278.80207,1715,0.638094754,0.910447444,0.626460496,0.629814353,0.627666378,35,0,100,0.646094754
50,32942.54847,1750,0.640745696,0.909122583,0.629797042,0.632745696,0.630525477,35,0,100,0.648745696
51,33601.90412,1785,0.641954388,0.90828377,0.630241714,0.633954388,0.631494392,35,0,100,0.649954388
52,34262.97575,1820,0.644704781,0.908524542,0.634858614,0.636704781,0.635404233,35,0,100,0.652704781
53,34925.11478,1855,0.645059256,0.905755866,0.633687867,0.637059256,0.63489437,35,0,100,0.653059256
54,35584.62537,1890,0.64512849,0.904000987,0.634699516,0.637546738,0.635433938,35,0,100,0.65312849
55,36242.76412,1925,0.645546738,0.904292577,0.633963404,0.63712849,0.634908711,35,0,100,0.653546738
56,36902.1657,1960,0.647384177,0.90136072,0.636875445,0.6401486,0.637969764,35,0,100,0.655384177
