Round,Real Time[s],Sim Time[s],Accuracy,Loss,Precision,Recall,F-score,received,failure,p_rate[%]
1,431.39377825,35,0.14734062483463115,1.5676247640963523,0.031906046252897544,0.14734062483463115,0.049937988259395605,31,0,100.0
2,1062.871939333,70,0.17229624184611872,1.892165468420301,0.1493115387738134,0.17229624184611872,0.09942679764245692,35,0,100.0
3,1700.725693291,105,0.2604257239939489,1.8115160294941492,0.2642667106053432,0.2604257239939489,0.23249862400995142,35,0,100.0
4,2347.4183895,140,0.3023627520987686,1.6831800631114415,0.28689950698889743,0.3023627520987686,0.2771644549768593,35,0,100.0
5,3035.993893041,175,0.33316732639322255,1.5953743423734392,0.3197111680723073,0.33316732639322255,0.31196777323543906,35,0,100.0
6,3713.60521875,210,0.36675962258981043,1.516513398715428,0.35697994873081207,0.36675962258981043,0.35146141310241785,35,0,100.0
7,4368.177008,245,0.3848861627264279,1.45273802621024,0.37587235078560344,0.3848861627264279,0.3714017376048531,35,0,100.0
8,5000.578065041,280,0.40404730492518753,1.3978832619530814,0.3974247066943496,0.40404730492518753,0.3942943941673412,35,0,100.0
9,5718.721310666,315,0.4155875891412311,1.3661229167665754,0.409291190719552,0.4155875891412311,0.4052479903866813,35,0,100.0
10,6392.407691166,350,0.4312601103251194,1.337668378012521,0.42706434958084694,0.43126011032511946,0.4238598916010301,35,0,100.0
11,7046.146495708,385,0.44769562361172727,1.302826660020011,0.4400491394226608,0.44769562361172727,0.44009590227886,35,0,100.0
12,7657.796676041,420,0.4583591230706369,1.2795018332345145,0.4524965451678947,0.4583591230706369,0.45098057647638545,35,0,100.0
13,8268.4762805,455,0.46827246336019723,1.2555733714784896,0.46010025314869174,0.46827246336019723,0.4596723080977846,35,0,100.0
14,8900.455166666,490,0.47847870894376293,1.2366132157189504,0.46971453610668856,0.47847870894376293,0.4704139950503378,35,0,100.0
15,9575.5142885,525,0.4878615615061452,1.218361759185791,0.47919322776947176,0.48786156150614507,0.48025961145745333,35,0,100.0
16,10266.436337166,560,0.49610732386057016,1.1918799911226545,0.4883711277702592,0.49610732386057027,0.4884323432882685,35,0,100.0
17,11005.306436208,595,0.5049480610652718,1.182802711214338,0.4981051576928392,0.5049480610652718,0.49864153869602856,35,0,100.0
18,11761.621236458,630,0.5139589491212018,1.162982416152954,0.5073844167814603,0.5139589491212018,0.5082987958900991,35,0,100.0
19,12548.8747795,665,0.521032470655581,1.1528623785291399,0.5129654940641207,0.521032470655581,0.5140713465400226,35,0,100.0
20,13289.2291195,700,0.5263244009012202,1.138102616582598,0.5188721795685347,0.5263244009012202,0.5202962002039211,35,0,100.0
21,14019.754187,735,0.5330434785623198,1.1247554983411516,0.5258903287209228,0.5330434785623198,0.5264874918549605,35,0,100.0
22,14681.491269416,770,0.5376662113284632,1.1140559332711355,0.5304983801786403,0.5376662113284632,0.5318838404643924,35,0,100.0
23,15329.581931875,805,0.5387203563883988,1.100487412725176,0.5310637782446823,0.5387203563883988,0.5321088751334981,35,0,100.0
24,15938.013001166,840,0.5441848083910877,1.089297424043928,0.5376688312121529,0.5441848083910877,0.5385472789455394,35,0,100.0
25,16543.309222458,875,0.5513892916668793,1.0750998769487654,0.5459791389154327,0.5513892916668793,0.5466413101703167,35,0,100.0
26,17158.739018833,910,0.5559921121744527,1.0646348646708896,0.5496310083372287,0.5559921121744527,0.550677531970782,35,0,100.0
27,17828.595757375,945,0.5600134480674319,1.0570604154041836,0.5528077063058537,0.5600134480674319,0.5545132288429052,35,0,100.0
28,18523.845578791,980,0.5624473063219458,1.0491269997188024,0.5563451801762402,0.5624473063219458,0.557315425520659,35,0,100.0
29,19245.594569833,1015,0.565667326293857,1.0386067186083112,0.5600036166162413,0.565667326293857,0.5611028906154515,35,0,100.0
30,19935.89203825,1050,0.5694439677186682,1.028204982621329,0.5631918573989214,0.5694439677186682,0.564211287398523,35,0,100.0
