Round,Real Time[s],Sim Time[s],Accuracy,Loss,receved,failue,p_rate[%]
1,17.9936845,30,0.11702925731432859,0.9200058579444885,1,0,100.0
2,31.14986425,60,0.1487871967991998,0.9152460098266602,1,0,100.0
3,44.391397333,90,0.22380595148787197,0.878192663192749,1,0,100.0
4,57.604188708,120,0.2673168292073018,0.8094769716262817,1,0,100.0
5,70.801062375,150,0.31957989497374345,0.7651690244674683,1,0,100.0
6,84.016021375,180,0.34433608402100524,0.7305991053581238,1,0,100.0
7,97.177573375,210,0.37209302325581395,0.6963405609130859,1,0,100.0
8,110.372574208,240,0.396099024756189,0.6678396463394165,1,0,100.0
9,123.556834666,270,0.42485621405351337,0.6294238567352295,1,0,100.0
10,136.778756125,300,0.45211302825706423,0.6040560603141785,1,0,100.0
11,149.862283875,330,0.4753688422105526,0.5869989991188049,1,0,100.0
12,163.124455541,360,0.4916229057264316,0.5652912855148315,1,0,100.0
13,176.295929041,390,0.4926231557889472,0.5653035044670105,1,0,100.0
14,189.537888041,420,0.4996249062265567,0.5538533926010132,1,0,100.0
15,202.784656375,450,0.5081270317579395,0.541433572769165,1,0,100.0
16,215.960121125,480,0.5218804701175294,0.5283178091049194,1,0,100.0
17,228.975601125,510,0.5221305326331583,0.5333748459815979,1,0,100.0
18,241.983603666,540,0.5263815953988498,0.5224607586860657,1,0,100.0
19,255.063092583,570,0.5411352838209552,0.513361394405365,1,0,100.0
20,268.26898225,600,0.5443860965241311,0.5058505535125732,1,0,100.0
21,281.448580625,630,0.5443860965241311,0.5076331496238708,1,0,100.0
22,294.601031708,660,0.5451362840710178,0.5030657052993774,1,0,100.0
23,307.809205958,690,0.5528882220555139,0.4927787780761719,1,0,100.0
24,320.920040791,720,0.5651412853213303,0.490140438079834,1,0,100.0
25,334.163122041,750,0.5678919729932483,0.4867503345012665,1,0,100.0
26,347.4384935,780,0.5711427856964241,0.47808486223220825,1,0,100.0
27,360.719739166,810,0.5746436609152288,0.4838288426399231,1,0,100.0
28,374.007445708,840,0.5711427856964241,0.479093462228775,1,0,100.0
29,387.31674825,870,0.5878969742435609,0.4629851281642914,1,0,100.0
30,400.583741166,900,0.5846461615403851,0.46733081340789795,1,0,100.0
31,413.79837225,930,0.5871467866966742,0.46074530482292175,1,0,100.0
32,426.986714291,960,0.5876469117279319,0.4636772572994232,1,0,100.0
33,440.120935041,990,0.592898224556139,0.4613064229488373,1,0,100.0
34,453.357203541,1020,0.6009002250562641,0.45443761348724365,1,0,100.0
35,466.591320208,1050,0.6071517879469868,0.45171570777893066,1,0,100.0
36,479.809837458,1080,0.603650912728182,0.4524054229259491,1,0,100.0
37,493.104019875,1110,0.6131532883220805,0.44431835412979126,1,0,100.0
38,506.390865833,1140,0.6109027256814203,0.4493660628795624,1,0,100.0
39,519.617984666,1170,0.6116529132283071,0.4432823956012726,1,0,100.0
40,532.75886725,1200,0.6126531632908228,0.44267627596855164,1,0,100.0
41,545.975592916,1230,0.6124031007751938,0.44235682487487793,1,0,100.0
42,559.163416541,1260,0.6256564141035259,0.43786922097206116,1,0,100.0
43,572.384524083,1290,0.6291572893223306,0.4293099343776703,1,0,100.0
