INFO flwr 2023-04-08 20:51:59,128 | app.py:139 | Starting Flower server, config: ServerConfig(num_rounds=100, round_timeout=6000)
INFO flwr 2023-04-08 20:51:59,134 | app.py:152 | Flower ECE: gRPC server running (100 rounds), SSL is disabled
INFO flwr 2023-04-08 20:51:59,134 | server.py:86 | Initializing global parameters
INFO flwr 2023-04-08 20:51:59,134 | server.py:270 | Requesting initial parameters from one random client
INFO flwr 2023-04-08 20:52:02,554 | server.py:274 | Received initial parameters from one random client
INFO flwr 2023-04-08 20:52:02,554 | server.py:88 | Evaluating initial parameters
INFO flwr 2023-04-08 20:52:02,554 | server.py:101 | FL starting
DEBUG flwr 2023-04-08 20:52:02,554 | server.py:215 | fit_round 1: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-08 20:52:08,146 | server.py:229 | fit_round 1 received 1 results and 0 failures
WARNING flwr 2023-04-08 20:52:08,150 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
DEBUG flwr 2023-04-08 20:52:08,150 | server.py:165 | evaluate_round 1: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-08 20:52:25,704 | server.py:179 | evaluate_round 1 received 1 results and 0 failures
DEBUG flwr 2023-04-08 20:52:25,704 | server.py:215 | fit_round 2: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-08 20:52:30,925 | server.py:229 | fit_round 2 received 1 results and 0 failures
DEBUG flwr 2023-04-08 20:52:30,926 | server.py:165 | evaluate_round 2: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-08 20:52:47,351 | server.py:179 | evaluate_round 2 received 1 results and 0 failures
DEBUG flwr 2023-04-08 20:52:47,351 | server.py:215 | fit_round 3: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-08 20:52:52,405 | server.py:229 | fit_round 3 received 1 results and 0 failures
DEBUG flwr 2023-04-08 20:52:52,406 | server.py:165 | evaluate_round 3: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-08 20:53:08,920 | server.py:179 | evaluate_round 3 received 1 results and 0 failures
DEBUG flwr 2023-04-08 20:53:08,920 | server.py:215 | fit_round 4: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-08 20:53:14,029 | server.py:229 | fit_round 4 received 1 results and 0 failures
DEBUG flwr 2023-04-08 20:53:14,030 | server.py:165 | evaluate_round 4: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-08 20:53:30,337 | server.py:179 | evaluate_round 4 received 1 results and 0 failures
DEBUG flwr 2023-04-08 20:53:30,337 | server.py:215 | fit_round 5: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-08 20:53:35,447 | server.py:229 | fit_round 5 received 1 results and 0 failures
DEBUG flwr 2023-04-08 20:53:35,448 | server.py:165 | evaluate_round 5: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-08 20:53:51,775 | server.py:179 | evaluate_round 5 received 1 results and 0 failures
DEBUG flwr 2023-04-08 20:53:51,776 | server.py:215 | fit_round 6: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-08 20:53:56,901 | server.py:229 | fit_round 6 received 1 results and 0 failures
