Round,Real Time[s],Sim Time[s],Accuracy,Loss,Precision,Recall,F-score,received,failure,p_rate[%]
1,162.409901708,10,,,,,,0,25,0
2,420.342427666,20,,,,,,0,35,0
3,1121.89382125,30,,,,,,0,35,0
4,2559.41810175,40,,,,,,0,35,0
5,3561.774075833,50,,,,,,0,35,0
6,4298.381324541,60,,,,,,0,35,0
7,5201.565113166,70,,,,,,0,35,0
8,6106.416959041,80,,,,,,0,35,0
9,6967.627226166,90,,,,,,0,35,0
10,7947.483973,100,,,,,,0,35,0
11,8944.666647875,110,,,,,,0,35,0
12,9785.725184708,120,,,,,,0,35,0
13,10169.7849105,130,,,,,,0,35,0
14,11616.715158208,140,,,,,,0,35,0
15,12865.62207825,150,,,,,,0,35,0
16,13724.657530833,160,,,,,,0,35,0
17,14570.980048375,170,,,,,,0,35,0
18,15249.700060083,180,,,,,,0,35,0
19,15595.669518916,190,,,,,,0,35,0
20,15946.991241625,200,,,,,,0,35,0
21,16258.698379,210,,,,,,0,35,0
22,16610.415006875,220,,,,,,0,35,0
23,16960.656850458,230,,,,,,0,35,0
24,17303.763068708,240,,,,,,0,35,0
25,17732.932255583,250,,,,,,0,35,0
26,18138.338627125,260,,,,,,0,35,0
27,18492.461092583,270,,,,,,0,35,0
28,19154.901211041,280,,,,,,0,35,0
29,19627.52531525,290,,,,,,0,35,0
30,19825.30721075,300,,,,,,0,35,0
31,20049.895915958,310,,,,,,0,35,0
32,20275.2219485,320,,,,,,0,35,0
33,20470.5236085,330,,,,,,0,35,0
34,20693.861933208,340,,,,,,0,35,0
35,20922.245005958,350,,,,,,0,35,0
36,21127.459120833,360,,,,,,0,35,0
37,21357.821171958,370,,,,,,0,35,0
38,21589.8945435,380,,,,,,0,35,0
39,21793.575579958,390,,,,,,0,35,0
40,22022.882656333,400,,,,,,0,35,0
41,22251.562108208,410,,,,,,0,35,0
42,22452.86675725,420,,,,,,0,35,0
43,22679.959729958,430,,,,,,0,35,0
44,22910.831275125,440,,,,,,0,35,0
45,23113.245942958,450,,,,,,0,35,0
46,23343.3114105,460,,,,,,0,35,0
47,23572.41485425,470,,,,,,0,35,0
48,23772.989562125,480,,,,,,0,35,0
49,24000.420150333,490,,,,,,0,35,0
50,24228.026984875,500,,,,,,0,35,0
51,24431.822036166,510,,,,,,0,35,0
52,24664.293109041,520,,,,,,0,35,0
53,24896.075589625,530,,,,,,0,35,0
54,25101.048364583,540,,,,,,0,35,0
55,25332.710265,550,,,,,,0,35,0
56,25561.728047291,560,,,,,,0,35,0
57,25764.648856958,570,,,,,,0,35,0
58,25993.350000208,580,,,,,,0,35,0
59,26222.019214333,590,,,,,,0,35,0
60,26425.971305,600,,,,,,0,35,0
61,26651.413742958,610,,,,,,0,35,0
62,26877.819004125,620,,,,,,0,35,0
63,27081.427070208,630,,,,,,0,35,0
64,27313.052499875,640,,,,,,0,35,0
65,27545.415411041,650,,,,,,0,35,0
66,27747.988134083,660,,,,,,0,35,0
67,27975.750641416,670,,,,,,0,35,0
68,28205.138184625,680,,,,,,0,35,0
69,28407.970191041,690,,,,,,0,35,0
70,28637.024891583,700,,,,,,0,35,0
71,28865.695362916,710,,,,,,0,35,0
72,29067.470099125,720,,,,,,0,35,0
73,29296.209918166,730,,,,,,0,35,0
74,29527.717955416,740,,,,,,0,35,0
75,29729.740071625,750,,,,,,0,35,0
76,29958.840215375,760,,,,,,0,35,0
77,30188.093882875,770,,,,,,0,35,0
78,30385.781443666,780,,,,,,0,35,0
79,30606.769593333,790,,,,,,0,35,0
80,30821.870189625,800,,,,,,0,35,0
81,31013.6631775,810,,,,,,0,35,0
82,31230.728595,820,,,,,,0,35,0
83,31447.449071958,830,,,,,,0,35,0
84,31639.611174208,840,,,,,,0,35,0
85,31857.214562583,850,,,,,,0,35,0
86,32074.16885625,860,,,,,,0,35,0
87,32264.357813083,870,,,,,,0,35,0
88,32481.813949916,880,,,,,,0,35,0
89,32700.868745583,890,,,,,,0,35,0
90,32891.890038,900,,,,,,0,35,0
91,33110.6475745,910,,,,,,0,35,0
92,33328.730240583,920,,,,,,0,35,0
93,33519.4954545,930,,,,,,0,35,0
94,33736.483159666,940,,,,,,0,35,0
95,33954.621804875,950,,,,,,0,35,0
96,34148.397524541,960,,,,,,0,35,0
97,34365.511707375,970,,,,,,0,35,0
98,34581.662859916,980,,,,,,0,35,0
99,34775.321958291,990,,,,,,0,35,0
100,34993.26724925,1000,,,,,,0,35,0
