INFO flower 2023-10-05 13:11:22,225 | app.py:131 | Starting Flower server, config: ServerConfig(num_rounds=100, round_timeout=1500)
INFO flower 2023-10-05 13:11:22,233 | app.py:144 | Flower ECE: gRPC server running (100 rounds), SSL is disabled
INFO flower 2023-10-05 13:11:22,233 | server.py:86 | Initializing global parameters
INFO flower 2023-10-05 13:11:22,233 | server.py:270 | Requesting initial parameters from one random client
INFO flower 2023-10-05 13:11:25,837 | server.py:274 | Received initial parameters from one random client
INFO flower 2023-10-05 13:11:25,837 | server.py:88 | Evaluating initial parameters
INFO flower 2023-10-05 13:11:25,837 | server.py:101 | FL starting
DEBUG flower 2023-10-05 13:11:25,837 | server.py:215 | fit_round 1: strategy sampled 1 clients (out of 1)
DEBUG flower 2023-10-05 13:11:40,190 | server.py:229 | fit_round 1 received 1 results and 0 failures
WARNING flower 2023-10-05 13:11:40,192 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
DEBUG flower 2023-10-05 13:11:40,194 | server.py:165 | evaluate_round 1: strategy sampled 26 clients (out of 26)
DEBUG flower 2023-10-05 13:15:17,923 | server.py:179 | evaluate_round 1 received 26 results and 0 failures
DEBUG flower 2023-10-05 13:15:17,924 | server.py:215 | fit_round 2: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 13:16:18,023 | server.py:229 | fit_round 2 received 35 results and 0 failures
DEBUG flower 2023-10-05 13:16:18,065 | server.py:165 | evaluate_round 2: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 13:20:03,403 | server.py:179 | evaluate_round 2 received 35 results and 0 failures
DEBUG flower 2023-10-05 13:20:03,403 | server.py:215 | fit_round 3: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 13:21:04,925 | server.py:229 | fit_round 3 received 35 results and 0 failures
DEBUG flower 2023-10-05 13:21:04,965 | server.py:165 | evaluate_round 3: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 13:25:57,868 | server.py:179 | evaluate_round 3 received 35 results and 0 failures
DEBUG flower 2023-10-05 13:25:57,869 | server.py:215 | fit_round 4: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 13:26:58,724 | server.py:229 | fit_round 4 received 35 results and 0 failures
DEBUG flower 2023-10-05 13:26:58,764 | server.py:165 | evaluate_round 4: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 13:31:25,531 | server.py:179 | evaluate_round 4 received 35 results and 0 failures
DEBUG flower 2023-10-05 13:31:25,531 | server.py:215 | fit_round 5: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 13:32:29,377 | server.py:229 | fit_round 5 received 35 results and 0 failures
DEBUG flower 2023-10-05 13:32:29,419 | server.py:165 | evaluate_round 5: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 13:37:12,235 | server.py:179 | evaluate_round 5 received 35 results and 0 failures
DEBUG flower 2023-10-05 13:37:12,235 | server.py:215 | fit_round 6: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 13:38:19,537 | server.py:229 | fit_round 6 received 35 results and 0 failures
DEBUG flower 2023-10-05 13:38:19,584 | server.py:165 | evaluate_round 6: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 13:43:01,988 | server.py:179 | evaluate_round 6 received 35 results and 0 failures
DEBUG flower 2023-10-05 13:43:01,989 | server.py:215 | fit_round 7: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 13:44:08,052 | server.py:229 | fit_round 7 received 35 results and 0 failures
DEBUG flower 2023-10-05 13:44:08,095 | server.py:165 | evaluate_round 7: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 13:48:56,686 | server.py:179 | evaluate_round 7 received 35 results and 0 failures
DEBUG flower 2023-10-05 13:48:56,687 | server.py:215 | fit_round 8: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 13:49:49,663 | server.py:229 | fit_round 8 received 35 results and 0 failures
DEBUG flower 2023-10-05 13:49:49,702 | server.py:165 | evaluate_round 8: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 13:54:00,077 | server.py:179 | evaluate_round 8 received 35 results and 0 failures
DEBUG flower 2023-10-05 13:54:00,077 | server.py:215 | fit_round 9: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 13:54:52,961 | server.py:229 | fit_round 9 received 35 results and 0 failures
DEBUG flower 2023-10-05 13:54:53,000 | server.py:165 | evaluate_round 9: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 13:59:23,749 | server.py:179 | evaluate_round 9 received 35 results and 0 failures
DEBUG flower 2023-10-05 13:59:23,749 | server.py:215 | fit_round 10: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 14:00:16,148 | server.py:229 | fit_round 10 received 35 results and 0 failures
DEBUG flower 2023-10-05 14:00:16,187 | server.py:165 | evaluate_round 10: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 14:04:33,609 | server.py:179 | evaluate_round 10 received 35 results and 0 failures
DEBUG flower 2023-10-05 14:04:33,609 | server.py:215 | fit_round 11: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 14:05:38,154 | server.py:229 | fit_round 11 received 35 results and 0 failures
DEBUG flower 2023-10-05 14:05:38,195 | server.py:165 | evaluate_round 11: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 14:10:32,342 | server.py:179 | evaluate_round 11 received 35 results and 0 failures
DEBUG flower 2023-10-05 14:10:32,342 | server.py:215 | fit_round 12: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 14:11:35,241 | server.py:229 | fit_round 12 received 35 results and 0 failures
DEBUG flower 2023-10-05 14:11:35,283 | server.py:165 | evaluate_round 12: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 14:16:06,657 | server.py:179 | evaluate_round 12 received 35 results and 0 failures
DEBUG flower 2023-10-05 14:16:06,657 | server.py:215 | fit_round 13: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 14:17:08,557 | server.py:229 | fit_round 13 received 35 results and 0 failures
DEBUG flower 2023-10-05 14:17:08,598 | server.py:165 | evaluate_round 13: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 14:22:00,445 | server.py:179 | evaluate_round 13 received 35 results and 0 failures
DEBUG flower 2023-10-05 14:22:00,446 | server.py:215 | fit_round 14: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 14:22:59,708 | server.py:229 | fit_round 14 received 35 results and 0 failures
DEBUG flower 2023-10-05 14:22:59,756 | server.py:165 | evaluate_round 14: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 14:27:47,087 | server.py:179 | evaluate_round 14 received 35 results and 0 failures
DEBUG flower 2023-10-05 14:27:47,088 | server.py:215 | fit_round 15: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 14:28:42,519 | server.py:229 | fit_round 15 received 35 results and 0 failures
DEBUG flower 2023-10-05 14:28:42,565 | server.py:165 | evaluate_round 15: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 14:33:21,284 | server.py:179 | evaluate_round 15 received 35 results and 0 failures
DEBUG flower 2023-10-05 14:33:21,284 | server.py:215 | fit_round 16: strategy sampled 35 clients (out of 35)
DEBUG flower 2023-10-05 14:34:16,176 | server.py:229 | fit_round 16 received 35 results and 0 failures
