Round,Real Time[s],Sim Time[s],Accuracy,Loss,Precision,Recall,F-score,received,failure,p_rate[%]
1,402.534880083,25,,,,,,0,33,0
2,736.775762083,50,,,,,,0,35,0
3,1102.738363,75,,,,,,0,35,0
4,1390.3842855,100,,,,,,0,35,0
5,1739.90177975,125,,,,,,0,35,0
6,2025.45376725,150,,,,,,0,35,0
7,2351.185062166,175,,,,,,0,35,0
8,2633.268406208,200,,,,,,0,35,0
9,2960.15879125,225,,,,,,0,35,0
10,3262.0690245,250,,,,,,0,35,0
11,3612.534603041,275,,,,,,0,35,0
12,3915.568620333,300,,,,,,0,35,0
13,4274.765902333,325,,,,,,0,35,0
14,4593.088027333,350,,,,,,0,35,0
15,4960.061008333,375,,,,,,0,35,0
16,5278.076854083,400,,,,,,0,35,0
17,5660.616129458,425,,,,,,0,35,0
18,5972.514888208,450,,,,,,0,35,0
19,6333.782975125,475,,,,,,0,35,0
20,6639.822747166,500,,,,,,0,35,0
21,6985.620436625,525,,,,,,0,35,0
22,7284.426526208,550,,,,,,0,35,0
23,7645.826264458,575,,,,,,0,35,0
24,7954.545558375,600,,,,,,0,35,0
25,8299.921256833,625,,,,,,0,35,0
26,8611.855514916,650,,,,,,0,35,0
27,8981.967991041,675,,,,,,0,35,0
28,9304.5959335,700,,,,,,0,35,0
29,9702.265484,725,,,,,,0,35,0
30,10027.018139791,750,,,,,,0,35,0
31,10419.754882958,775,,,,,,0,35,0
32,10744.133062958,800,,,,,,0,35,0
33,11111.056547291,825,,,,,,0,35,0
34,11418.513764291,850,,,,,,0,35,0
35,11800.86798025,875,,,,,,0,35,0
36,12158.602223416,900,,,,,,0,35,0
37,12592.537994083,925,,,,,,0,35,0
38,12918.935068791,950,,,,,,0,35,0
39,13292.494119875,975,,,,,,0,35,0
40,13609.57372475,1000,,,,,,0,35,0
41,13983.779312708,1025,,,,,,0,35,0
42,14306.028426458,1050,,,,,,0,35,0
43,14678.521239541,1075,,,,,,0,35,0
44,15006.270407291,1100,,,,,,0,35,0
45,15386.310514375,1125,,,,,,0,35,0
46,15696.491775958,1150,,,,,,0,35,0
47,16113.86045725,1175,,,,,,0,35,0
48,16411.793152708,1200,,,,,,0,35,0
49,16752.313371875,1225,,,,,,0,35,0
50,17056.583167125,1250,,,,,,0,35,0
51,17400.270566291,1275,,,,,,0,35,0
52,17692.955533666,1300,,,,,,0,35,0
53,18065.452695916,1325,,,,,,0,35,0
54,18428.248232875,1350,,,,,,0,35,0
55,18831.568538916,1375,,,,,,0,35,0
56,19154.008102916,1400,,,,,,0,35,0
57,19518.329523333,1425,,,,,,0,35,0
58,19830.571628458,1450,,,,,,0,35,0
59,20200.500202208,1475,,,,,,0,35,0
60,20530.551403375,1500,,,,,,0,35,0
61,20899.786106416,1525,,,,,,0,35,0
62,21216.384286833,1550,,,,,,0,35,0
63,21584.895245291,1575,,,,,,0,35,0
64,21912.108384916,1600,,,,,,0,35,0
65,22282.50669325,1625,,,,,,0,35,0
66,22596.585643208,1650,,,,,,0,35,0
67,22965.736177708,1675,,,,,,0,35,0
68,23288.536755041,1700,,,,,,0,35,0
69,23668.605377083,1725,,,,,,0,35,0
70,24022.559433166,1750,,,,,,0,35,0
71,24422.9569865,1775,,,,,,0,35,0
72,24787.26574175,1800,,,,,,0,35,0
73,25163.202723041,1825,,,,,,0,35,0
74,25485.117371541,1850,,,,,,0,35,0
75,25856.200231666,1875,,,,,,0,35,0
76,26179.066893458,1900,,,,,,0,35,0
77,26625.606027666,1925,,,,,,0,35,0
78,26956.278124083,1950,,,,,,0,35,0
79,27329.471642583,1975,,,,,,0,35,0
80,27651.537941083,2000,,,,,,0,35,0
81,28048.551327708,2025,,,,,,0,35,0
82,28358.890113291,2050,,,,,,0,35,0
83,28733.766618416,2075,,,,,,0,35,0
84,29060.596698791,2100,,,,,,0,35,0
85,29445.065448333,2125,,,,,,0,35,0
86,29764.667623875,2150,,,,,,0,35,0
87,30146.596873875,2175,,,,,,0,35,0
88,30468.9985865,2200,,,,,,0,35,0
89,30827.141465833,2225,,,,,,0,35,0
90,31150.675212041,2250,,,,,,0,35,0
91,31529.46284325,2275,,,,,,0,35,0
92,31894.488515333,2300,,,,,,0,35,0
93,32276.937640208,2325,,,,,,0,35,0
94,32609.193203333,2350,,,,,,0,35,0
95,32984.4578215,2375,,,,,,0,35,0
96,33304.445396583,2400,,,,,,0,35,0
97,33695.233728333,2425,,,,,,0,35,0
98,34003.016350041,2450,,,,,,0,35,0
99,34373.601302041,2475,,,,,,0,35,0
100,34733.453550416,2500,,,,,,0,35,0
