Round,Sim Time [s],Loss,Accuracy,prog [%]
1,32,inf,0,0
2,91,inf,0,0
3,150,inf,0,0
4,209,inf,0,0
5,268,inf,0,0
6,327,inf,0,0
7,385,inf,0,0
8,444,inf,0,0
9,503,inf,0,0
10,562,inf,0,0
11,621,inf,0,0
12,680,inf,0,0
13,739,inf,0,0
14,798,inf,0,0
15,857,inf,0,0
16,916,inf,0,0
17,975,inf,0,0
18,1034,inf,0,0
19,1093,inf,0,0
20,1152,inf,0,0
21,1210,inf,0,0
22,1269,inf,0,0
23,1328,inf,0,0
24,1387,inf,0,0
25,1446,inf,0,0
26,1505,inf,0,0
27,1564,inf,0,0
28,1623,inf,0,0
29,1682,inf,0,0
30,1741,inf,0,0
31,1800,inf,0,0
32,1859,inf,0,0
33,1918,inf,0,0
34,1977,inf,0,0
35,2035,inf,0,0
36,2094,inf,0,0
37,2153,inf,0,0
38,2212,inf,0,0
39,2271,inf,0,0
40,2330,inf,0,0
41,2389,inf,0,0
42,2448,inf,0,0
43,2507,inf,0,0
44,2566,inf,0,0
45,2625,inf,0,0
46,2684,inf,0,0
47,2743,inf,0,0
48,2802,inf,0,0
49,2860,inf,0,0
50,2919,inf,0,0
51,2978,inf,0,0
52,3037,inf,0,0
53,3096,inf,0,0
54,3155,inf,0,0
55,3214,inf,0,0
56,3273,inf,0,0
57,3332,inf,0,0
58,3391,inf,0,0
59,3450,inf,0,0
60,3509,inf,0,0
61,3568,inf,0,0
62,3626,inf,0,0
63,3685,inf,0,0
64,3744,inf,0,0
65,3803,inf,0,0
66,3862,inf,0,0
67,3921,inf,0,0
68,3980,inf,0,0
69,4039,inf,0,0
70,4098,inf,0,0
71,4157,inf,0,0
72,4216,inf,0,0
73,4275,inf,0,0
74,4334,inf,0,0
75,4393,inf,0,0
76,4451,inf,0,0
77,4510,inf,0,0
78,4569,inf,0,0
79,4628,inf,0,0
80,4687,inf,0,0
81,4746,inf,0,0
82,4805,inf,0,0
83,4864,inf,0,0
84,4923,inf,0,0
85,4982,inf,0,0
86,5041,inf,0,0
87,5100,inf,0,0
88,5159,inf,0,0
89,5218,inf,0,0
90,5276,inf,0,0
91,5335,inf,0,0
92,5394,inf,0,0
93,5453,inf,0,0
94,5512,inf,0,0
95,5571,inf,0,0
96,5630,inf,0,0
97,5689,inf,0,0
98,5748,inf,0,0
99,5807,inf,0,0
100,5866,inf,0,0
