Round,Real Time[s],Sim Time[s],Accuracy,Loss,Precision,Recall,F-score,receved,failue,p_rate[%]
1,458.1472795,40,0.10021002,2.30088759,,,,11,24,31.4285714
2,1082.350666,80,0.11541154,2.29580426,,,,17,18,48.5714286
3,1696.776236,120,0.18571857,2.27235007,,,,18,17,51.4285714
4,2307.96554,160,0.23442344,2.11424804,,,,19,16,54.2857143
5,2933.568762,200,0.29182918,1.96255517,,,,17,18,48.5714286
6,3536.233292,240,0.32213221,1.87296808,,,,19,16,54.2857143
7,4150.247231,280,0.35333533,1.78244913,,,,17,18,48.5714286
8,4769.580099,320,0.38113811,1.69421876,,,,14,21,40
9,5398.37746,360,0.410041,1.62763166,,,,17,18,48.5714286
10,6027.102096,400,0.43494349,1.57192171,,,,15,20,42.8571429
11,6650.786149,440,0.45344535,1.52226591,,,,18,17,51.4285714
12,7277.368053,480,0.46564657,1.48232794,,,,15,20,42.8571429
13,7911.007,520,0.47754776,1.44897521,,,,14,21,40
14,8540.255355,560,0.489949,1.41982889,,,,17,18,48.5714286
15,9171.606305,600,0.49884989,1.39389527,,,,17,18,48.5714286
16,9799.481191,640,0.50635064,1.3712461,,,,16,19,45.7142857
17,10418.52461,680,0.51415142,1.34894204,,,,14,21,40
18,11024.12905,720,0.52155216,1.32969201,,,,17,18,48.5714286
19,11556.18912,760,0.52935294,1.31129193,,,,14,21,40
20,12094.07624,800,0.53765377,1.29506683,,,,16,19,45.7142857
21,12624.24291,840,0.54435444,1.27864945,,,,15,20,42.8571429
22,13150.71872,880,0.54805481,1.26388466,,,,17,18,48.5714286
23,13681.79371,920,0.5529553,1.24907363,,,,15,20,42.8571429
24,14462.79718,960,0.55725573,1.23626804,,,,16,19,45.7142857
25,15110.78645,1000,0.55905591,1.2242372,,,,17,18,48.5714286
26,15744.50875,1040,0.56575658,1.21096265,,,,16,19,45.7142857
27,16382.55974,1080,0.56825683,1.19940925,,,,15,20,42.8571429
28,17015.06352,1120,0.57545755,1.1889708,,,,16,19,45.7142857
29,17647.88794,1160,0.57845785,1.17843354,,,,15,20,42.8571429
30,18280.04322,1200,0.58375838,1.16860497,,,,19,16,54.2857143
31,18907.17717,1240,0.58745875,1.1587044,,,,16,19,45.7142857
32,19538.48802,1280,0.59005901,1.15095663,,,,20,15,57.1428571
33,20172.52002,1320,0.59565957,1.14136791,,,,15,20,42.8571429
34,20806.1326,1360,0.59975998,1.14011157,,,,16,19,45.7142857
35,21434.15565,1400,0.60066007,1.13519073,,,,16,19,45.7142857
36,22061.20691,1440,0.60556056,1.13383889,,,,16,19,45.7142857
37,22684.75439,1480,0.60586059,1.12946034,,,,15,20,42.8571429
38,23309.80096,1520,0.60746075,1.12711453,,,,14,21,40
39,23941.59437,1560,0.60946095,1.12204087,,,,17,18,48.5714286
40,24574.87203,1600,0.61306131,1.11992705,,,,18,17,51.4285714
41,25221.17086,1640,0.61476148,1.11666215,,,,15,20,42.8571429
42,25847.06053,1680,0.61656166,1.11345315,,,,17,18,48.5714286
43,26472.68001,1720,0.61816182,1.11316085,,,,17,18,48.5714286
44,27098.73138,1760,0.619962,1.10862732,,,,17,18,48.5714286
45,27722.37286,1800,0.62236224,1.10710275,,,,16,19,45.7142857
46,28350.88602,1840,0.62416242,1.10334992,,,,17,18,48.5714286
47,28977.07834,1880,0.62576258,1.10241318,,,,17,18,48.5714286
48,29594.59844,1920,0.62806281,1.09773445,,,,15,20,42.8571429
49,30219.00253,1960,0.62766277,1.09561026,,,,17,18,48.5714286
50,30841.30193,2000,0.62786279,1.09238863,,,,16,19,45.7142857
51,31467.80071,2040,0.62966297,1.09219706,,,,15,20,42.8571429
52,32093.62841,2080,0.63186319,1.09034002,,,,16,19,45.7142857
53,32727.50638,2120,0.63246325,1.08603299,,,,16,19,45.7142857
54,33355.4481,2160,0.63446345,1.08497608,,,,14,21,40
55,33964.69217,2200,0.63736374,1.08235097,,,,13,22,37.1428571
56,34499.5665,2240,0.63816382,1.08166575,,,,17,18,48.5714286
57,35032.48338,2280,0.63956396,1.08023953,,,,16,19,45.7142857
58,35631.74726,2320,0.639964,1.07729483,,,,16,19,45.7142857
59,36251.10614,2360,0.64076408,1.07485056,,,,15,20,42.8571429
60,36885.90834,2400,0.639964,1.07429457,,,,22,13,62.8571429
61,37506.61104,2440,0.64146415,1.07130659,,,,17,18,48.5714286
62,38134.80424,2480,0.6409641,1.07009804,,,,18,17,51.4285714
63,38758.71519,2520,0.64406441,1.06844568,,,,14,21,40
64,39380.21042,2560,0.64446445,1.06574965,,,,16,19,45.7142857
65,40010.84201,2600,0.64416442,1.0643363,,,,14,21,40
66,40637.80592,2640,0.64656466,1.06343067,,,,14,21,40
67,41268.68031,2680,0.64556456,1.06223571,,,,15,20,42.8571429
68,41891.0881,2720,0.64516452,1.06075513,,,,17,18,48.5714286
69,42517.5934,2760,0.64776478,1.05948985,,,,17,18,48.5714286
70,43156.27383,2800,0.64626463,1.05804789,,,,21,14,60
71,43791.74793,2840,0.64806481,1.05708396,,,,17,18,48.5714286
72,44416.87208,2880,0.64716472,1.05467391,,,,14,21,40
73,45044.24239,2920,0.64826483,1.05454338,,,,17,18,48.5714286
74,45670.95698,2960,0.64816482,1.05324173,,,,16,19,45.7142857
75,46266.78181,3000,0.64856486,1.05174673,,,,18,17,51.4285714
76,46796.42586,3040,0.64876488,1.05138314,,,,15,20,42.8571429
77,47320.59588,3080,0.64936494,1.04893982,,,,17,18,48.5714286
78,47858.70758,3120,0.65026503,1.04835916,,,,16,19,45.7142857
79,48395.14649,3160,0.64876488,1.04752052,,,,15,20,42.8571429
80,49021.94669,3200,0.64946495,1.04593277,,,,15,20,42.8571429
81,49652.12437,3240,0.6479648,1.04532504,,,,15,20,42.8571429
82,50284.79597,3280,0.6489649,1.04487991,,,,15,20,42.8571429
83,50904.19127,3320,0.64876488,1.04339433,,,,18,17,51.4285714
84,51538.21822,3360,0.64746475,1.04273093,,,,16,19,45.7142857
