Round,Real Time[s],Sim Time[s],Accuracy,Loss,Precision,Recall,F-score,receved,failue,p_rate[%]
1,472.9639029,50,0.10021002,2.30088759,,,,11,24,31.4285714
2,1226.247526,100,0.11541154,2.29580426,,,,17,18,48.5714286
3,1999.83613,150,0.18571857,2.27235007,,,,18,17,51.4285714
4,2767.616461,200,0.23442344,2.11424804,,,,19,16,54.2857143
5,3488.98419,250,0.29182918,1.96255517,,,,17,18,48.5714286
6,4194.089844,300,0.32213221,1.87296808,,,,19,16,54.2857143
7,4930.960774,350,0.35333533,1.78244913,,,,17,18,48.5714286
8,5665.667644,400,0.38113811,1.69421876,,,,14,21,40
9,6405.93278,450,0.410041,1.62763166,,,,17,18,48.5714286
10,7150.712117,500,0.43494349,1.57192171,,,,15,20,42.8571429
11,7901.161842,550,0.45344535,1.52226591,,,,18,17,51.4285714
12,8655.164355,600,0.46564657,1.48232794,,,,15,20,42.8571429
13,9402.336901,650,0.47754776,1.44897521,,,,14,21,40
14,10124.80131,700,0.489949,1.41982889,,,,17,18,48.5714286
15,10785.63148,750,0.49884989,1.39389527,,,,17,18,48.5714286
16,11437.28799,800,0.50635064,1.3712461,,,,16,19,45.7142857
17,12117.02053,850,0.51415142,1.34894204,,,,14,21,40
18,12757.3967,900,0.52155216,1.32969201,,,,17,18,48.5714286
19,13428.24799,950,0.52935294,1.31129193,,,,14,21,40
20,14073.57744,1000,0.53765377,1.29506683,,,,16,19,45.7142857
21,14721.7778,1050,0.54435444,1.27864945,,,,15,20,42.8571429
22,15392.42892,1100,0.54805481,1.26388466,,,,17,18,48.5714286
23,16275.40864,1150,0.5529553,1.24907363,,,,15,20,42.8571429
24,16889.1068,1200,0.55725573,1.23626804,,,,16,19,45.7142857
25,17500.25305,1250,0.55905591,1.2242372,,,,17,18,48.5714286
26,18107.99241,1300,0.56575658,1.21096265,,,,16,19,45.7142857
27,18717.72202,1350,0.56825683,1.19940925,,,,15,20,42.8571429
28,19328.72914,1400,0.57545755,1.1889708,,,,16,19,45.7142857
29,19934.95038,1450,0.57845785,1.17843354,,,,15,20,42.8571429
30,20537.9712,1500,0.58375838,1.16860497,,,,19,16,54.2857143
31,21152.68764,1550,0.58745875,1.1587044,,,,16,19,45.7142857
32,21764.86659,1600,0.59005901,1.15095663,,,,20,15,57.1428571
33,22409.42754,1650,0.59565957,1.14136791,,,,15,20,42.8571429
34,23072.85765,1700,0.59975998,1.14011157,,,,16,19,45.7142857
35,23751.74202,1750,0.60066007,1.13519073,,,,16,19,45.7142857
36,24431.30794,1800,0.60556056,1.13383889,,,,16,19,45.7142857
37,25103.2465,1850,0.60586059,1.12946034,,,,15,20,42.8571429
38,25780.94021,1900,0.60746075,1.12711453,,,,14,21,40
39,26456.38218,1950,0.60946095,1.12204087,,,,17,18,48.5714286
40,27128.83164,2000,0.61306131,1.11992705,,,,18,17,51.4285714
41,27801.58526,2050,0.61476148,1.11666215,,,,15,20,42.8571429
42,28476.9055,2100,0.61656166,1.11345315,,,,17,18,48.5714286
43,29148.19806,2150,0.61816182,1.11316085,,,,17,18,48.5714286
44,29818.48208,2200,0.619962,1.10862732,,,,17,18,48.5714286
45,30498.27975,2250,0.62236224,1.10710275,,,,16,19,45.7142857
46,31171.66303,2300,0.62416242,1.10334992,,,,17,18,48.5714286
47,31848.24209,2350,0.62576258,1.10241318,,,,17,18,48.5714286
48,32521.69727,2400,0.62806281,1.09773445,,,,15,20,42.8571429
49,33135.17293,2450,0.62766277,1.09561026,,,,17,18,48.5714286
50,33748.92227,2500,0.62786279,1.09238863,,,,16,19,45.7142857
51,34364.07247,2550,0.62966297,1.09219706,,,,15,20,42.8571429
52,34985.82429,2600,0.63186319,1.09034002,,,,16,19,45.7142857
53,35603.61368,2650,0.63246325,1.08603299,,,,16,19,45.7142857
54,36222.94594,2700,0.63446345,1.08497608,,,,14,21,40
55,36837.99801,2750,0.63736374,1.08235097,,,,13,22,37.1428571
56,37455.82323,2800,0.63816382,1.08166575,,,,17,18,48.5714286
57,38077.52405,2850,0.63956396,1.08023953,,,,16,19,45.7142857
58,38695.98932,2900,0.639964,1.07729483,,,,16,19,45.7142857
59,39311.10759,2950,0.64076408,1.07485056,,,,15,20,42.8571429
60,39934.36215,3000,0.639964,1.07429457,,,,22,13,62.8571429
61,40552.9358,3050,0.64146415,1.07130659,,,,17,18,48.5714286
62,41171.12295,3100,0.6409641,1.07009804,,,,18,17,51.4285714
63,41785.27733,3150,0.64406441,1.06844568,,,,14,21,40
64,42399.74723,3200,0.64446445,1.06574965,,,,16,19,45.7142857
65,43018.42349,3250,0.64416442,1.0643363,,,,14,21,40
66,43637.22265,3300,0.64656466,1.06343067,,,,14,21,40
67,44253.03517,3350,0.64556456,1.06223571,,,,15,20,42.8571429
68,44871.91309,3400,0.64516452,1.06075513,,,,17,18,48.5714286
69,45495.00896,3450,0.64776478,1.05948985,,,,17,18,48.5714286
70,46116.31131,3500,0.64626463,1.05804789,,,,21,14,60
71,46736.97627,3550,0.64806481,1.05708396,,,,17,18,48.5714286
72,47351.07906,3600,0.64716472,1.05467391,,,,14,21,40
73,47966.42495,3650,0.64826483,1.05454338,,,,17,18,48.5714286
74,48582.9126,3700,0.64816482,1.05324173,,,,16,19,45.7142857
75,49196.24952,3750,0.64856486,1.05174673,,,,18,17,51.4285714
76,49817.06183,3800,0.64876488,1.05138314,,,,15,20,42.8571429
77,50441.70271,3850,0.64936494,1.04893982,,,,17,18,48.5714286
78,51062.39824,3900,0.65026503,1.04835916,,,,16,19,45.7142857
79,51686.58121,3950,0.64876488,1.04752052,,,,15,20,42.8571429
80,52305.95241,4000,0.64946495,1.04593277,,,,15,20,42.8571429
81,52919.75287,4050,0.6479648,1.04532504,,,,15,20,42.8571429
82,53539.19434,4100,0.6489649,1.04487991,,,,15,20,42.8571429
83,54155.04765,4150,0.64876488,1.04339433,,,,18,17,51.4285714
84,54774.65897,4200,0.64746475,1.04273093,,,,16,19,45.7142857
85,55396.14605,4250,0.64586459,1.04225123,,,,19,16,54.2857143
86,56015.6625,4300,0.64566457,1.04167533,,,,17,18,48.5714286
