Round,Sim Time [s],Accuracy,Loss,Precision,Recall,F-score,prog [%]
1,32,0,inf,0.0,0.0,0.0,0
2,91,0,inf,0.0,0.0,0.0,0
3,150,0,inf,0.0,0.0,0.0,0
4,209,0,inf,0.0,0.0,0.0,0
5,268,0,inf,0.0,0.0,0.0,0
6,327,0,inf,0.0,0.0,0.0,0
7,385,0,inf,0.0,0.0,0.0,0
8,444,0,inf,0.0,0.0,0.0,0
9,503,0,inf,0.0,0.0,0.0,0
10,562,0,inf,0.0,0.0,0.0,0
11,621,0,inf,0.0,0.0,0.0,0
12,680,0,inf,0.0,0.0,0.0,0
13,739,0,inf,0.0,0.0,0.0,0
14,798,0,inf,0.0,0.0,0.0,0
15,857,0,inf,0.0,0.0,0.0,0
16,916,0,inf,0.0,0.0,0.0,0
17,975,0,inf,0.0,0.0,0.0,0
18,1034,0,inf,0.0,0.0,0.0,0
19,1093,0,inf,0.0,0.0,0.0,0
20,1152,0,inf,0.0,0.0,0.0,0
21,1210,0,inf,0.0,0.0,0.0,0
22,1269,0,inf,0.0,0.0,0.0,0
23,1328,0,inf,0.0,0.0,0.0,0
24,1387,0,inf,0.0,0.0,0.0,0
25,1446,0,inf,0.0,0.0,0.0,0
26,1505,0,inf,0.0,0.0,0.0,0
27,1564,0,inf,0.0,0.0,0.0,0
28,1623,0,inf,0.0,0.0,0.0,0
29,1682,0,inf,0.0,0.0,0.0,0
30,1741,0,inf,0.0,0.0,0.0,0
31,1800,0,inf,0.0,0.0,0.0,0
32,1859,0,inf,0.0,0.0,0.0,0
33,1918,0,inf,0.0,0.0,0.0,0
34,1977,0,inf,0.0,0.0,0.0,0
35,2035,0,inf,0.0,0.0,0.0,0
36,2094,0,inf,0.0,0.0,0.0,0
37,2153,0,inf,0.0,0.0,0.0,0
38,2212,0,inf,0.0,0.0,0.0,0
39,2271,0,inf,0.0,0.0,0.0,0
40,2330,0,inf,0.0,0.0,0.0,0
41,2389,0,inf,0.0,0.0,0.0,0
42,2448,0,inf,0.0,0.0,0.0,0
43,2507,0,inf,0.0,0.0,0.0,0
44,2566,0,inf,0.0,0.0,0.0,0
45,2625,0,inf,0.0,0.0,0.0,0
46,2684,0,inf,0.0,0.0,0.0,0
47,2743,0,inf,0.0,0.0,0.0,0
48,2802,0,inf,0.0,0.0,0.0,0
49,2860,0,inf,0.0,0.0,0.0,0
50,2919,0,inf,0.0,0.0,0.0,0
51,2978,0,inf,0.0,0.0,0.0,0
52,3037,0,inf,0.0,0.0,0.0,0
53,3096,0,inf,0.0,0.0,0.0,0
54,3155,0,inf,0.0,0.0,0.0,0
55,3214,0,inf,0.0,0.0,0.0,0
56,3273,0,inf,0.0,0.0,0.0,0
57,3332,0,inf,0.0,0.0,0.0,0
58,3391,0,inf,0.0,0.0,0.0,0
59,3450,0,inf,0.0,0.0,0.0,0
60,3509,0,inf,0.0,0.0,0.0,0
61,3568,0,inf,0.0,0.0,0.0,0
62,3626,0,inf,0.0,0.0,0.0,0
63,3685,0,inf,0.0,0.0,0.0,0
64,3744,0,inf,0.0,0.0,0.0,0
65,3803,0,inf,0.0,0.0,0.0,0
66,3862,0,inf,0.0,0.0,0.0,0
67,3921,0,inf,0.0,0.0,0.0,0
68,3980,0,inf,0.0,0.0,0.0,0
69,4039,0,inf,0.0,0.0,0.0,0
70,4098,0,inf,0.0,0.0,0.0,0
71,4157,0,inf,0.0,0.0,0.0,0
72,4216,0,inf,0.0,0.0,0.0,0
73,4275,0,inf,0.0,0.0,0.0,0
74,4334,0,inf,0.0,0.0,0.0,0
75,4393,0,inf,0.0,0.0,0.0,0
76,4451,0,inf,0.0,0.0,0.0,0
77,4510,0,inf,0.0,0.0,0.0,0
78,4569,0,inf,0.0,0.0,0.0,0
79,4628,0,inf,0.0,0.0,0.0,0
80,4687,0,inf,0.0,0.0,0.0,0
81,4746,0,inf,0.0,0.0,0.0,0
82,4805,0,inf,0.0,0.0,0.0,0
83,4864,0,inf,0.0,0.0,0.0,0
84,4923,0,inf,0.0,0.0,0.0,0
85,4982,0,inf,0.0,0.0,0.0,0
86,5041,0,inf,0.0,0.0,0.0,0
87,5100,0,inf,0.0,0.0,0.0,0
88,5159,0,inf,0.0,0.0,0.0,0
89,5218,0,inf,0.0,0.0,0.0,0
90,5276,0,inf,0.0,0.0,0.0,0
91,5335,0,inf,0.0,0.0,0.0,0
92,5394,0,inf,0.0,0.0,0.0,0
93,5453,0,inf,0.0,0.0,0.0,0
94,5512,0,inf,0.0,0.0,0.0,0
95,5571,0,inf,0.0,0.0,0.0,0
96,5630,0,inf,0.0,0.0,0.0,0
97,5689,0,inf,0.0,0.0,0.0,0
98,5748,0,inf,0.0,0.0,0.0,0
99,5807,0,inf,0.0,0.0,0.0,0
