Round,Real Time[s],Sim Time[s],Accuracy,Loss,receved,failue,p_rate[%]
1,230.8807154,60,0.100210021,2.300887585,11,24,31.42857143
2,520.0446963,120,0.115411541,2.295804262,17,18,48.57142857
3,816.1527882,180,0.185718572,2.272350073,18,17,51.42857143
4,1107.347978,240,0.234423442,2.114248037,19,16,54.28571429
5,1404.64844,300,0.291829183,1.96255517,17,18,48.57142857
6,1704.099779,360,0.322132213,1.872968078,19,16,54.28571429
7,2004.960206,420,0.353335334,1.782449126,17,18,48.57142857
8,2302.341063,480,0.381138114,1.694218755,14,21,40
9,2608.561162,540,0.410041004,1.627631664,17,18,48.57142857
10,2914.809088,600,0.434943494,1.571921706,15,20,42.85714286
11,3222.943079,660,0.453445345,1.522265911,18,17,51.42857143
12,3519.783687,720,0.465646565,1.482327938,15,20,42.85714286
13,3810.745365,780,0.477547755,1.448975205,14,21,40
14,4108.753734,840,0.489948995,1.419828892,17,18,48.57142857
15,4410.658236,900,0.498849885,1.393895268,17,18,48.57142857
16,4708.371166,960,0.506350635,1.371246099,16,19,45.71428571
17,5002.315713,1020,0.514151415,1.348942041,14,21,40
18,5308.491827,1080,0.521552155,1.329692006,17,18,48.57142857
19,5596.496502,1140,0.529352935,1.311291933,14,21,40
20,5905.531769,1200,0.537653765,1.295066833,16,19,45.71428571
21,6205.434563,1260,0.544354435,1.278649449,15,20,42.85714286
22,6504.931902,1320,0.548054805,1.263884664,17,18,48.57142857
23,6805.968956,1380,0.552955296,1.249073625,15,20,42.85714286
24,7104.705919,1440,0.557255726,1.236268044,16,19,45.71428571
25,7409.026956,1500,0.559055906,1.224237204,17,18,48.57142857
26,7718.887093,1560,0.565756576,1.210962653,16,19,45.71428571
27,8018.588989,1620,0.568256826,1.199409246,15,20,42.85714286
28,8324.773742,1680,0.575457546,1.188970804,16,19,45.71428571
29,8629.38008,1740,0.578457846,1.178433537,15,20,42.85714286
30,8939.475588,1800,0.583758376,1.16860497,19,16,54.28571429
31,9233.358084,1860,0.587458746,1.1587044,16,19,45.71428571
32,9547.747265,1920,0.590059006,1.150956631,20,15,57.14285714
33,9846.769317,1980,0.595659566,1.141367912,15,20,42.85714286
34,10151.81679,2040,0.599759976,1.140111566,16,19,45.71428571
35,10458.10029,2100,0.600660066,1.135190725,16,19,45.71428571
36,10763.89006,2160,0.605560556,1.133838892,16,19,45.71428571
37,11025.88817,2220,0.605860586,1.129460335,15,20,42.85714286
38,11289.5191,2280,0.607460746,1.127114534,14,21,40
39,11541.16911,2340,0.609460946,1.122040868,17,18,48.57142857
40,11800.25199,2400,0.613061306,1.119927049,18,17,51.42857143
41,12049.86216,2460,0.614761476,1.116662145,15,20,42.85714286
42,12308.66208,2520,0.616561656,1.11345315,17,18,48.57142857
43,12564.66685,2580,0.618161816,1.113160849,17,18,48.57142857
44,12815.87404,2640,0.619961996,1.108627319,17,18,48.57142857
45,13064.74334,2700,0.622362236,1.107102752,16,19,45.71428571
46,13320.80053,2760,0.624162416,1.103349924,17,18,48.57142857
47,13584.63462,2820,0.625762576,1.102413177,17,18,48.57142857
48,13837.02281,2880,0.627662766,1.097734451,15,20,42.85714286
49,14094.27496,2940,0.627862786,1.095610261,17,18,48.57142857
50,14349.71659,3000,0.628062806,1.09238863,16,19,45.71428571
51,14601.34543,3060,0.629662966,1.092197061,15,20,42.85714286
52,14854.57952,3120,0.631863186,1.090340018,16,19,45.71428571
53,15110.05997,3180,0.632463246,1.086032987,16,19,45.71428571
54,15366.24793,3240,0.634463446,1.084976077,14,21,40
55,15614.21113,3300,0.637363736,1.082350969,13,22,37.14285714
56,15874.17212,3360,0.638163816,1.081665754,17,18,48.57142857
57,16125.46918,3420,0.639563956,1.080239534,16,19,45.71428571
58,16380.28514,3480,0.639963996,1.077294827,16,19,45.71428571
59,16627.41008,3540,0.639963996,1.074850559,15,20,42.85714286
60,16892.61065,3600,0.640764076,1.074294567,22,13,62.85714286
61,17147.1196,3660,0.640764076,1.071306586,17,18,48.57142857
62,17402.04363,3720,0.640964096,1.070098042,18,17,51.42857143
63,17652.79769,3780,0.641464146,1.068445683,14,21,40
64,17915.34055,3840,0.642564256,1.065749645,16,19,45.71428571
65,18161.87158,3900,0.642964296,1.0643363,14,21,40
66,18416.12507,3960,0.643064306,1.063430667,14,21,40
67,18666.14279,4020,0.643064306,1.062235713,15,20,42.85714286
68,18923.2764,4080,0.643164316,1.060755134,17,18,48.57142857
69,19172.73087,4140,0.643664366,1.059489846,17,18,48.57142857
70,19437.11905,4200,0.644064406,1.058047891,21,14,60
71,19694.81608,4260,0.644064406,1.057083964,17,18,48.57142857
72,19948.64039,4320,0.644164416,1.05467391,14,21,40
73,20203.05529,4380,0.644164416,1.054543376,17,18,48.57142857
74,20460.44281,4440,0.644464446,1.05324173,16,19,45.71428571
75,20725.72722,4500,0.645164516,1.051746726,18,17,51.42857143
76,20982.96779,4560,0.645264526,1.051383138,15,20,42.85714286
77,21243.79152,4620,0.645364536,1.048939824,17,18,48.57142857
78,21495.82281,4680,0.645464546,1.048359156,16,19,45.71428571
79,21752.44073,4740,0.645564556,1.047520518,15,20,42.85714286
80,22004.01173,4800,0.645664566,1.04593277,15,20,42.85714286
81,22260.6113,4860,0.645864586,1.045325041,15,20,42.85714286
82,22515.60701,4920,0.645964596,1.044879913,15,20,42.85714286
83,22789.0896,4980,0.646164616,1.043394327,18,17,51.42857143
84,23046.94147,5040,0.646264626,1.042730927,16,19,45.71428571
85,23307.08601,5100,0.646564656,1.042251229,19,16,54.28571429
86,23563.44499,5160,0.647164716,1.041675329,17,18,48.57142857
87,23823.90873,5220,0.647464746,1.04118979,18,17,51.42857143
88,24085.07695,5280,0.647764776,1.039519906,17,18,48.57142857
89,24352.93172,5340,0.647964796,1.03937006,19,16,54.28571429
90,24611.25817,5400,0.648064806,1.039328218,18,17,51.42857143
91,24861.81706,5460,0.648164816,1.038763642,15,20,42.85714286
92,25115.53557,5520,0.648264826,1.03865099,15,20,42.85714286
93,25369.50187,5580,0.648564856,1.038304925,15,20,42.85714286
94,25631.55246,5640,0.648764876,1.037712097,15,20,42.85714286
95,25891.67193,5700,0.648764876,1.037698507,18,17,51.42857143
96,26147.86193,5760,0.648764876,1.037157297,15,20,42.85714286
97,26404.10174,5820,0.648964896,1.036892414,17,18,48.57142857
98,26667.51579,5880,0.649364936,1.036705136,19,16,54.28571429
99,26921.28954,5940,0.649464946,1.036643744,17,18,48.57142857
100,27177.16653,6000,0.650265027,1.036539912,17,18,48.57142857
