Round,Time [s],Accuracy,Loss,Precision,Recall,F-score
1,63.007977833,0.871,0.4318325642062242,0.8712353625073241,0.871,0.8705765518643886
2,124.122739166,0.9065,0.30639357254464406,0.9068905851540844,0.9065,0.9062701821375831
3,183.873269041,0.9291,0.24369751319332836,0.9296265139797725,0.9291,0.9292054993401023
4,243.759986,0.9315,0.22449651423317804,0.9317929173965549,0.9315,0.931489128465741
5,301.632923875,0.9405,0.20772241934311378,0.9406096419545167,0.9405,0.9404488093922017
6,360.519048375,0.9426,0.18672220016867597,0.942650075227121,0.9426,0.9424762845427253
7,422.178465166,0.9455,0.1811364272133629,0.9455773299342549,0.9455,0.9454762142349733
8,480.433216458,0.9486,0.17073039616581995,0.9490639926959022,0.9486,0.948631599359763
9,542.573757916,0.9516,0.16351813688983208,0.9517565215321206,0.9516,0.9515206971604008
10,600.776388,0.9533,0.16253670604622558,0.9535213132560934,0.9533,0.9533049705568976
11,658.603702458,0.9527,0.16555258183647828,0.9528505381422939,0.9527,0.9526795713850992
12,717.015095375,0.9566,0.15228359894648597,0.9567848108140595,0.9566,0.9565764881047635
13,775.097421666,0.9582,0.14893079701309148,0.9583748745577283,0.9582,0.9581644172307395
14,833.19108375,0.9588,0.13998417389052092,0.9587511104055577,0.9588,0.9587436723552141
15,891.470487625,0.9575,0.14425632378467204,0.9576250283076275,0.9575,0.9574868600192252
16,950.124670583,0.9609,0.1377563988109983,0.9609481101376798,0.9609,0.9608518022097639
17,1013.737310583,0.9607,0.12949597560879011,0.9607671971204013,0.9607,0.9606665335309377
18,1074.591584916,0.9618,0.1366781938916475,0.9620215150393396,0.9618,0.961726956246432
19,1135.822867208,0.9636,0.12661493962758935,0.9636389135185647,0.9636,0.9635668311693049
20,1200.435292,0.9627,0.12999554726116397,0.9628000511281378,0.9627,0.9626890423246394
21,1259.254319875,0.9642,0.12134989366107111,0.9642210298401349,0.9642,0.9641898573925648
22,1319.022136,0.9635,0.12316917620565582,0.9635957594506199,0.9635,0.9635068001342059
23,1377.045761875,0.9658,0.12417306067926598,0.9658456757366328,0.9658,0.965780236358438
24,1435.333349333,0.9625,0.12701732927776502,0.9625920152251514,0.9625,0.9624795887514452
25,1493.405478708,0.9687,0.11360990418996603,0.9687342437984802,0.9687,0.9686808087866544
26,1551.49570975,0.965,0.1147979749474526,0.9650387197244671,0.965,0.9649516210359387
27,1609.156684958,0.963,0.11528692841393588,0.9630192907965531,0.963,0.9629436025203578
28,1666.338318916,0.9679,0.11238935979463349,0.9679329959503106,0.9679,0.9678852218250051
29,1723.539472583,0.9662,0.11728420768448723,0.9662328213269542,0.9662,0.9661837183008977
30,1780.742198375,0.9682,0.11480886349422809,0.9682129991633177,0.9682,0.968169097376471
31,1839.427823375,0.967,0.11227520556778167,0.9670766495902954,0.967,0.9669850979058894
32,1897.960732,0.966,0.11661228167544031,0.9660891334108727,0.966,0.9660002640690011
33,1955.505517833,0.9703,0.10731827167741251,0.9703030466348876,0.9703,0.9702736658997293
34,2013.832019083,0.9689,0.11154501323608897,0.968913380135232,0.9689,0.9688727092912067
35,2071.296757166,0.9649,0.11501602518632371,0.9649619123489763,0.9649,0.9648740595602674
36,2128.732600833,0.9692,0.1107049461707009,0.9692245657354366,0.9692,0.9691815290369649
37,2186.888214333,0.9676,0.10324588327644349,0.9676205187560714,0.9676,0.967595853126144
38,2245.246903416,0.9722,0.0967553444214366,0.9722478879174531,0.9722,0.9721966723965078
39,2304.043475708,0.9699,0.10783820843907434,0.9699748479652893,0.9699,0.9698847484968144
40,2363.636402,0.9697,0.10798119903097604,0.9697509523357781,0.9697,0.9696820536760952
41,2422.398442708,0.9671,0.10964474001462031,0.9671660331640382,0.9671,0.9670779309610745
42,2480.891292625,0.9662,0.11374379450365002,0.9662763831254173,0.9662,0.9661950642612382
43,2544.425403458,0.9671,0.10958310699468483,0.9671773778965594,0.9671,0.9670922195088179
44,2603.704043541,0.9703,0.1058499985557134,0.9703665953067789,0.9703,0.970282713637024
45,2663.237389458,0.9694,0.10014172467233838,0.9695344585663619,0.9694,0.9693740049861964
46,2722.861936375,0.9713,0.10373055700761792,0.9712853348390281,0.9713,0.9712828196777192
47,2782.532008416,0.9717,0.09715295267379838,0.9717346929052881,0.9717,0.9716846578056516
