Round,Time [s],Loss,Accuracy
1,0,2.297886546,0.1487
2,188.6117358,2.273836058,0.1435
3,434.3472217,2.146735313,0.2197
4,679.7089893,2.001765202,0.2855
5,892.6043453,1.901123615,0.3248
6,1119.135152,1.79972236,0.3591
7,1336.147009,1.701309639,0.3847
8,1587.519011,1.622295018,0.4101
9,1874.248021,1.567850448,0.4303
10,2083.750011,1.523500233,0.4445
11,2305.300872,1.485198768,0.4628
12,2521.338693,1.456492271,0.4692
13,2816.042968,1.425212864,0.4835
14,3064.350095,1.386760666,0.4999
15,3319.344816,1.36576347,0.5062
16,3531.024138,1.342865326,0.5122
17,3748.37584,1.313594924,0.5211
18,3950.386223,1.293772328,0.5366
19,4212.447727,1.27855151,0.5436
20,4494.812702,1.270238712,0.5445
21,4725.623598,1.249776328,0.5498
22,4933.446049,1.240642122,0.5549
23,5173.345138,1.205779168,0.5663
24,5375.436285,1.186934167,0.575
25,5630.663839,1.173645302,0.5819
26,5896.24904,1.179271606,0.5794
27,6132.249326,1.151910626,0.5918
28,6335.066259,1.138288452,0.5966
29,6560.169896,1.128711987,0.6009
30,6798.678787,1.133659118,0.5993
31,7080.223424,1.111338489,0.6085
32,7310.389942,1.104766397,0.6109
