Round,Sim Time [s],Loss,Accuracy,prog [%]
1,34,inf,0,0
2,92,inf,0,0
3,150,inf,0,0
4,208,inf,0,0
5,266,inf,0,0
6,324,inf,0,0
7,382,inf,0,0
8,440,inf,0,0
9,498,inf,0,0
10,556,inf,0,0
11,614,inf,0,0
12,672,inf,0,0
13,730,inf,0,0
14,788,inf,0,0
15,846,inf,0,0
16,904,inf,0,0
17,962,inf,0,0
18,1020,inf,0,0
19,1078,inf,0,0
20,1137,inf,0,0
21,1195,inf,0,0
22,1253,inf,0,0
23,1311,inf,0,0
24,1369,inf,0,0
25,1427,inf,0,0
26,1485,inf,0,0
27,1543,inf,0,0
28,1601,inf,0,0
29,1659,inf,0,0
30,1717,inf,0,0
31,1775,inf,0,0
32,1833,inf,0,0
33,1891,inf,0,0
34,1949,inf,0,0
35,2007,inf,0,0
36,2065,inf,0,0
37,2123,inf,0,0
38,2181,inf,0,0
39,2239,inf,0,0
40,2297,inf,0,0
41,2356,inf,0,0
42,2414,inf,0,0
43,2472,inf,0,0
44,2530,inf,0,0
45,2588,inf,0,0
46,2646,inf,0,0
47,2704,inf,0,0
48,2762,inf,0,0
49,2820,inf,0,0
50,2878,inf,0,0
51,2936,inf,0,0
52,2994,inf,0,0
53,3052,inf,0,0
54,3110,inf,0,0
55,3168,inf,0,0
56,3226,inf,0,0
57,3284,inf,0,0
58,3342,inf,0,0
59,3400,inf,0,0
60,3458,inf,0,0
61,3516,inf,0,0
62,3575,inf,0,0
63,3633,inf,0,0
64,3691,inf,0,0
65,3749,inf,0,0
66,3807,inf,0,0
67,3865,inf,0,0
68,3923,inf,0,0
69,3981,inf,0,0
70,4039,inf,0,0
71,4097,inf,0,0
72,4155,inf,0,0
73,4213,inf,0,0
74,4271,inf,0,0
75,4329,inf,0,0
76,4387,inf,0,0
77,4445,inf,0,0
78,4503,inf,0,0
79,4561,inf,0,0
80,4619,inf,0,0
81,4677,inf,0,0
82,4735,inf,0,0
83,4794,inf,0,0
84,4852,inf,0,0
85,4910,inf,0,0
86,4968,inf,0,0
87,5026,inf,0,0
88,5084,inf,0,0
89,5142,inf,0,0
90,5200,inf,0,0
91,5258,inf,0,0
92,5316,inf,0,0
93,5374,inf,0,0
94,5432,inf,0,0
95,5490,inf,0,0
96,5548,inf,0,0
97,5606,inf,0,0
98,5664,inf,0,0
99,5722,inf,0,0
100,5780,inf,0,0
