Round,Sim Time [s],Loss,Accuracy,prog [%]
1,18,inf,0,0
2,80,2.295804356384277,0.11541154115411541,100.0
3,110,2.2723500757813455,0.1857185718571857,100.0
4,143,2.114247932511568,0.23442344234423443,100.0
5,173,1.9625551167353987,0.29182918291829185,100.0
6,206,1.8729681187987328,0.32213221322132213,100.0
7,236,1.7824491114892065,0.35333533353335334,100.0
8,269,1.694218795888871,0.38113811381138113,100.0
9,299,1.6276316111810505,0.41004100410041006,100.0
10,332,1.5719217034954578,0.43494349434943497,100.0
11,334,inf,0,0
12,395,1.48232798302304,0.46564656465646564,100.0
13,397,inf,0,0
14,458,1.4198288704317064,0.48994899489948995,100.0
15,460,inf,0,0
16,521,1.3712460423812736,0.5063506350635063,100.0
17,523,inf,0,0
18,584,1.3296919931732119,0.5215521552155216,100.0
19,586,inf,0,0
20,647,1.295066791652958,0.5376537653765376,100.0
21,649,inf,0,0
22,710,1.2638847151125083,0.5480548054805481,100.0
23,712,inf,0,0
24,773,1.2362680177095813,0.5572557255725572,100.0
25,775,inf,0,0
26,836,1.210962675636774,0.5657565756575658,100.0
27,838,inf,0,0
28,899,1.1889707593163883,0.5754575457545754,100.0
29,901,inf,0,0
30,962,1.1686049153760716,0.5837583758375837,100.0
31,964,inf,0,0
32,1025,1.1509566378510032,0.59005900590059,100.0
33,1027,inf,0,0
34,1088,1.1338388727463258,0.5997599759975998,100.0
35,1090,inf,0,0
36,1151,1.119927029829721,0.6055605560556055,100.0
37,1153,inf,0,0
38,1214,1.107102747720122,0.6074607460746074,100.0
39,1216,inf,0,0
40,1277,1.0956102700182273,0.613061306130613,100.0
41,1279,inf,0,0
42,1340,1.0860329870093344,0.6165616561656165,100.0
43,1342,inf,0,0
44,1403,1.077294802500781,0.61996199619962,100.0
45,1405,inf,0,0
46,1466,1.0700980314923525,0.6241624162416242,100.0
47,1468,inf,0,0
48,1529,1.0622357589989684,0.628062806280628,100.0
49,1531,inf,0,0
50,1592,1.0570839299328767,0.6278627862786279,100.0
51,1594,inf,0,0
52,1655,1.0517466814872993,0.6318631863186318,100.0
53,1657,inf,0,0
54,1718,1.0475205452663932,0.6344634463446345,100.0
55,1720,inf,0,0
56,1781,1.0433943239027164,0.6381638163816382,100.0
57,1783,inf,0,0
58,1844,1.0416753194901225,0.63996399639964,100.0
59,1846,inf,0,0
60,1907,1.0387635894396714,0.63996399639964,100.0
61,1909,inf,0,0
62,1970,1.0386509820118197,0.6409640964096409,100.0
63,1972,inf,0,0
64,2034,1.0376984922648453,0.6444644464446445,100.0
65,2064,1.0371572927486703,0.6441644164416441,100.0
66,2097,1.0365398538616115,0.6465646564656465,100.0
67,2127,1.0368924044525347,0.6455645564556456,100.0
68,2160,1.0366437693719053,0.6451645164516452,100.0
69,2190,1.0393282118723346,0.6477647764776477,100.0
70,2223,1.0383049518267116,0.6462646264626463,100.0
71,2253,1.0411897639889558,0.648064806480648,100.0
72,2286,1.0395198636150196,0.6471647164716472,100.0
73,2316,1.042730967462366,0.6482648264826483,100.0
74,2349,1.0448799319411044,0.6481648164816481,100.0
75,2379,1.045932790928028,0.6485648564856485,100.0
76,2412,1.0483591272054769,0.6487648764876488,100.0
77,2442,1.0513831755246985,0.6493649364936493,100.0
78,2475,1.0532417155800704,0.6502650265026503,100.0
79,2505,1.0545433726120923,0.6487648764876488,100.0
80,2538,1.0580479371295115,0.6494649464946495,100.0
81,2568,1.0594898479545558,0.647964796479648,100.0
82,2601,1.0634307255232853,0.648964896489649,100.0
83,2631,1.0643363360323803,0.6487648764876488,100.0
84,2664,1.0684456254841628,0.6474647464746475,100.0
85,2694,1.0713065503929544,0.6458645864586459,100.0
86,2727,1.074850520138279,0.6456645664566457,100.0
87,2757,1.080239547683105,0.645964596459646,100.0
88,2790,1.0823509406867173,0.6453645364536453,100.0
89,2820,1.0849760422760477,0.6461646164616461,100.0
90,2853,1.092197045016169,0.6454645464546455,100.0
91,2883,1.0923886267508471,0.6452645264526453,100.0
92,2916,1.0977345010350588,0.6436643664366437,100.0
93,2946,1.1033499180210091,0.6429642964296429,100.0
94,2979,1.1086273340378192,0.6440644064406441,100.0
95,3009,1.113160829833147,0.6431643164316432,100.0
96,3042,1.1166621254396198,0.643064306430643,100.0
97,3072,1.1220408396579866,0.6425642564256425,100.0
98,3105,1.129460387939877,0.6407640764076408,100.0
99,3135,1.1351907591753487,0.6441644164416441,100.0
100,3168,1.1401115293209212,0.643064306430643,100.0
