INFO flower 2022-12-20 20:27:24,540 | app.py:131 | Starting Flower server, config: ServerConfig(num_rounds=100, round_timeout=300)
INFO flower 2022-12-20 20:27:24,543 | app.py:144 | Flower ECE: gRPC server running (100 rounds), SSL is disabled
INFO flower 2022-12-20 20:27:24,544 | server.py:86 | Initializing global parameters
INFO flower 2022-12-20 20:27:24,544 | server.py:270 | Requesting initial parameters from one random client
INFO flower 2022-12-20 20:27:52,264 | server.py:274 | Received initial parameters from one random client
INFO flower 2022-12-20 20:27:52,264 | server.py:88 | Evaluating initial parameters
INFO flower 2022-12-20 20:27:52,264 | server.py:101 | FL starting
DEBUG flower 2022-12-20 20:27:54,876 | server.py:215 | fit_round 1: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-20 22:39:51,248 | server.py:229 | fit_round 1 received 2 results and 0 failures
WARNING flower 2022-12-20 22:39:51,252 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
DEBUG flower 2022-12-20 22:39:51,252 | server.py:165 | evaluate_round 1: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-20 23:44:08,325 | server.py:179 | evaluate_round 1 received 2 results and 0 failures
WARNING flower 2022-12-20 23:44:08,325 | fedavg.py:273 | No evaluate_metrics_aggregation_fn provided
DEBUG flower 2022-12-20 23:44:08,325 | server.py:215 | fit_round 2: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 02:21:50,431 | server.py:229 | fit_round 2 received 2 results and 0 failures
DEBUG flower 2022-12-21 02:21:50,434 | server.py:165 | evaluate_round 2: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 03:08:10,109 | server.py:179 | evaluate_round 2 received 2 results and 0 failures
DEBUG flower 2022-12-21 03:08:10,109 | server.py:215 | fit_round 3: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 04:43:15,964 | server.py:229 | fit_round 3 received 2 results and 0 failures
DEBUG flower 2022-12-21 04:43:15,966 | server.py:165 | evaluate_round 3: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 04:52:44,205 | server.py:179 | evaluate_round 3 received 2 results and 0 failures
DEBUG flower 2022-12-21 04:52:44,205 | server.py:215 | fit_round 4: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 08:33:07,796 | server.py:229 | fit_round 4 received 2 results and 0 failures
DEBUG flower 2022-12-21 08:33:07,798 | server.py:165 | evaluate_round 4: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 08:33:42,058 | server.py:179 | evaluate_round 4 received 1 results and 1 failures
DEBUG flower 2022-12-21 08:33:44,164 | server.py:215 | fit_round 5: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 13:07:46,798 | server.py:229 | fit_round 5 received 2 results and 0 failures
DEBUG flower 2022-12-21 13:07:46,800 | server.py:165 | evaluate_round 5: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 13:09:13,367 | server.py:179 | evaluate_round 5 received 1 results and 1 failures
DEBUG flower 2022-12-21 13:09:15,286 | server.py:215 | fit_round 6: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 14:18:57,686 | server.py:229 | fit_round 6 received 2 results and 0 failures
DEBUG flower 2022-12-21 14:18:57,689 | server.py:165 | evaluate_round 6: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 14:19:34,331 | server.py:179 | evaluate_round 6 received 1 results and 1 failures
DEBUG flower 2022-12-21 14:19:36,472 | server.py:215 | fit_round 7: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 14:22:30,464 | server.py:229 | fit_round 7 received 2 results and 0 failures
DEBUG flower 2022-12-21 14:22:30,466 | server.py:165 | evaluate_round 7: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 14:23:01,375 | server.py:179 | evaluate_round 7 received 1 results and 1 failures
DEBUG flower 2022-12-21 14:23:03,603 | server.py:215 | fit_round 8: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 14:25:50,672 | server.py:229 | fit_round 8 received 2 results and 0 failures
DEBUG flower 2022-12-21 14:25:50,675 | server.py:165 | evaluate_round 8: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 14:26:28,737 | server.py:179 | evaluate_round 8 received 1 results and 1 failures
DEBUG flower 2022-12-21 14:26:30,469 | server.py:215 | fit_round 9: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 14:30:12,874 | server.py:229 | fit_round 9 received 2 results and 0 failures
DEBUG flower 2022-12-21 14:30:12,876 | server.py:165 | evaluate_round 9: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 14:30:51,574 | server.py:179 | evaluate_round 9 received 1 results and 1 failures
DEBUG flower 2022-12-21 14:30:53,335 | server.py:215 | fit_round 10: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 14:34:12,819 | server.py:229 | fit_round 10 received 2 results and 0 failures
DEBUG flower 2022-12-21 14:34:12,821 | server.py:165 | evaluate_round 10: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 14:34:50,631 | server.py:179 | evaluate_round 10 received 1 results and 1 failures
DEBUG flower 2022-12-21 14:34:52,585 | server.py:215 | fit_round 11: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-21 14:38:48,265 | server.py:229 | fit_round 11 received 2 results and 0 failures
DEBUG flower 2022-12-21 14:38:48,267 | server.py:165 | evaluate_round 11: strategy sampled 2 clients (out of 2)
