Round,Time [s],Loss,Accuracy
1,0,2.300835036,0.1108
2,248.3210817,2.28873439,0.1462
3,501.0527475,2.178086162,0.2184
4,717.6860907,2.026828551,0.2557
5,934.5382883,1.955608417,0.2848
6,1211.003226,1.874391181,0.3167
7,1527.441217,1.787474446,0.3426
8,1734.572291,1.693254953,0.3895
9,1941.439777,1.6209249,0.4079
10,2204.30692,1.56323251,0.4261
11,2443.557795,1.524823036,0.4469
12,2718.643255,1.490818836,0.4609
13,2960.034216,1.456379465,0.4751
14,3259.844245,1.440645198,0.4791
15,3476.463922,1.40598131,0.4901
16,3704.23956,1.378448882,0.5079
17,3916.249662,1.366146554,0.505
18,4144.203136,1.326105443,0.5255
19,4391.149053,1.301785292,0.5326
20,4644.213102,1.285548609,0.5383
21,4849.253585,1.265850099,0.5456
22,5112.33739,1.252978985,0.5478
23,5339.061188,1.236881818,0.5563
24,5617.188206,1.225663254,0.5574
25,5836.737678,1.201407043,0.5687
26,6098.061079,1.192077803,0.5754
27,6330.305341,1.182668478,0.5811
28,6586.310457,1.166494129,0.5823
29,6806.146496,1.161803348,0.5867
30,6995.491785,1.144849609,0.5982
31,7165.107561,1.131794276,0.6004
32,7327.663751,1.128441078,0.6001
33,7529.613085,1.118078094,0.6042
34,7738.68486,1.103381,0.6126
35,7907.916224,1.099013874,0.6145
36,8107.265932,1.090434448,0.6134
37,8324.545896,1.094072072,0.6144
38,8588.693303,1.083498734,0.6199
39,8837.200452,1.070779312,0.6222
40,9066.516012,1.068358511,0.6259
41,9299.044713,1.066129453,0.6262
42,9514.759891,1.058333957,0.629
43,9735.907613,1.057570997,0.6286
44,9976.042166,1.058464942,0.6278
45,10210.28814,1.051263867,0.6318
46,10405.12731,1.030476878,0.6403
47,10655.52512,1.033564221,0.6393
48,10881.76841,1.02637783,0.6412
49,11131.34722,1.028762125,0.6421
50,11335.03486,1.019356309,0.6456
51,11560.63243,1.021733886,0.6439
52,11820.268,1.015212291,0.6449
53,12041.76885,1.009992244,0.65
54,12263.63865,1.009622343,0.6504
55,12522.0002,1.012719785,0.6478
56,12805.54395,1.004193436,0.6525
57,13060.28794,1.008697492,0.6528
58,13263.90489,1.011116362,0.654
59,13464.8846,0.993643057,0.6573
60,13685.16797,0.992254141,0.6607
61,13875.0609,0.994642594,0.6594
62,14068.95812,0.99724394,0.656
63,14237.04735,0.992827732,0.6617
64,14482.57805,0.993944098,0.6577
65,14663.75377,0.991036897,0.6603
66,14835.92019,0.989725962,0.6612
67,15035.00967,0.992769,0.66
68,15209.61713,0.989164471,0.6616
69,15408.89587,0.996376968,0.659
70,15641.34157,0.989099875,0.6652
71,15850.73779,1.001155993,0.6596
72,16084.81799,1.026674611,0.655
73,16298.61226,1.002139441,0.6616
74,16522.62379,1.00264289,0.6619
75,16720.27932,0.997599717,0.6641
76,16928.5986,0.998264055,0.6656
77,17148.60617,1.015653823,0.6583
78,17468.6609,0.994837434,0.6672
79,17720.25332,1.004069488,0.6648
80,18024.02039,1.006496366,0.661
81,18253.60004,1.018909145,0.6593
82,18459.48455,1.023463795,0.6622
83,18631.69888,1.023732117,0.6625
84,18866.36578,1.016814887,0.6652
85,19082.11784,1.008237311,0.6704
86,19275.83154,1.013795177,0.6653
87,19432.87595,1.040172011,0.6609
88,19606.86015,1.031347163,0.6668
89,19768.45884,1.029339072,0.6666
90,19932.65107,1.046605623,0.6656
91,20141.58863,1.037295932,0.6686
92,20399.16803,1.041569768,0.6654
93,20718.663,1.03227133,0.6697
94,21014.33103,1.03956376,0.668
95,21269.83674,1.046073698,0.6713
96,21528.86831,1.063370201,0.6669
97,21816.21107,1.062281058,0.6673
98,22078.81411,1.057289229,0.6681
99,22339.95633,1.076778231,0.6661
100,22625.95674,1.076476879,0.6621
