Round,Time [s],Loss,Accuracy
1,0,2.297886546,0.1433
2,188.6117358,2.273836058,0.1435
3,434.3472217,2.146735313,0.2197
4,679.7089893,2.001765202,0.2855
5,892.6043453,1.901123615,0.3248
6,1119.135152,1.79972236,0.3591
7,1336.147009,1.701309639,0.3847
8,1587.519011,1.622295018,0.4101
9,1874.248021,1.567850448,0.4303
10,2083.750011,1.523500233,0.4445
11,2305.300872,1.485198768,0.4628
12,2521.338693,1.456492271,0.4692
13,2816.042968,1.425212864,0.4835
14,3064.350095,1.386760666,0.4999
15,3319.344816,1.36576347,0.5062
16,3531.024138,1.342865326,0.5122
