Round,Real Time[s],Sim Time[s],Accuracy,Loss,receved,failue,p_rate[%]
1,156.399532791,30,0.12164107153979035,1.899855504433314,24,0,100.0
2,411.95593825,60,0.15721356031158867,1.9117813638278416,35,0,100.0
3,687.870294125,90,0.23447484826955503,1.9621506763356074,35,0,100.0
4,978.338028333,120,0.26133894372291233,1.932290565116065,35,0,100.0
5,1235.407973208,150,0.30186676175028065,1.6800771611077445,35,0,100.0
6,1501.678670916,180,0.3353450790577559,1.6767149759190423,35,0,100.0
7,1765.236211583,210,0.37520409870905447,1.486103310755321,35,0,100.0
8,2042.532430916,240,0.40041666719618724,1.5053304808480399,35,0,100.0
9,2303.186814541,270,0.4166210584208887,1.423152203645025,35,0,100.0
10,2581.045826916,300,0.43555737059141675,1.4251579199518476,35,0,100.0
11,2854.948147291,330,0.45321760600986993,1.3879220834800174,35,0,100.0
12,3132.221125666,360,0.4657392824891326,1.3167190330369132,35,0,100.0
13,3379.214085083,390,0.48337623116588235,1.177651481969016,35,0,100.0
14,3674.308477958,420,0.49101317156108076,1.2706130144851548,35,0,100.0
15,3938.929513541,450,0.49988502178572514,1.2110797813960483,35,0,100.0
16,4213.005291375,480,0.5121865285759868,1.2208844521215985,35,0,100.0
17,4471.770270125,510,0.5242472921857245,1.094443365080016,35,0,100.0
18,4743.089198125,540,0.5301962999087636,1.2150110679013388,35,0,100.0
19,4997.656320333,570,0.5388178881889572,1.0315034472516604,35,0,100.0
20,5262.565703875,600,0.5446196888931479,1.1529731707913535,35,0,100.0
21,5512.405120416,630,0.550527649310741,1.10565219776971,35,0,100.0
22,5783.826462708,660,0.5563607225149146,1.1260183591927801,35,0,100.0
23,6058.155565625,690,0.5620876577647095,1.0444362516914094,35,0,100.0
24,6329.483196708,720,0.5667956378916841,1.101709172981126,35,0,100.0
25,6601.233349833,750,0.571398428211655,1.0546474260943277,35,0,100.0
26,6874.040254416,780,0.5759095320267883,1.1110639033573015,35,0,100.0
27,7147.875963833,810,0.5815223061028902,1.0031475903732436,35,0,100.0
28,7432.375785875,840,0.5810638311575614,1.0897108499492918,35,0,100.0
29,7698.3740425,870,0.5889254860192761,0.988648827799729,35,0,100.0
30,7983.241395166,900,0.5926405942504099,1.0718046445931708,35,0,100.0
31,8261.151811083,930,0.6007169843438747,0.9724121591874532,35,0,100.0
32,8554.973500625,960,0.5998880911252539,1.0884384966322354,35,0,100.0
33,8814.529349125,990,0.6040817810667943,0.955330156641347,35,0,100.0
34,9082.336507375,1020,0.6062837183122081,1.045390702358314,35,0,100.0
35,9346.596752041,1050,0.6086150254039359,0.9719467810222081,35,0,100.0
36,9624.657548625,1080,0.6118620277578046,1.0253800149474825,35,0,100.0
37,9888.895485,1110,0.6137808239544416,0.9610233536788395,35,0,100.0
38,10172.853616333,1140,0.6163273204978679,1.0149031890290123,35,0,100.0
39,10432.145273416,1170,0.6181424660113206,0.9234217120068414,35,0,100.0
40,10701.041121958,1200,0.6209851104747036,1.0065423075641904,35,0,100.0
41,10973.534964125,1230,0.6234745255818203,0.942585483619145,35,0,100.0
42,11237.458540875,1260,0.6270115032577732,0.9976196612630571,35,0,100.0
43,11495.672882333,1290,0.6286678093005974,0.9351714679173061,35,0,100.0
44,11763.490917208,1320,0.6318158400202476,0.9596100287778037,35,0,100.0
45,12017.8095255,1350,0.6344160588330995,0.8963574552110263,35,0,100.0
46,12276.300299791,1380,0.6313808272694652,0.982636843408857,35,0,100.0
47,12541.062641333,1410,0.6360034291121057,0.9208318927458354,35,0,100.0
48,12805.98310075,1440,0.6382634265781056,0.9479926313672747,35,0,100.0
49,13058.822993041,1470,0.6420043380093943,0.9118345822606768,35,0,100.0
50,13317.97065375,1500,0.6399491412768884,0.9382738370980536,35,0,100.0
51,13588.675028,1530,0.6407306998424744,0.9357014956218855,35,0,100.0
52,13850.702115083,1560,0.6400394545871675,0.9353429368564061,35,0,100.0
53,14114.390785375,1590,0.6444184337260493,0.8761176705360413,35,0,100.0
54,14391.25580475,1620,0.6434646326283868,0.9288444989493915,35,0,100.0
55,14648.581957666,1650,0.6470667073384772,0.847132327726909,35,0,100.0
56,14926.835622333,1680,0.644829663036069,0.9821608803101949,35,0,100.0
57,15208.729751416,1710,0.6481900286419804,0.86991142226117,35,0,100.0
58,15503.340374833,1740,0.6480480810492727,0.9498177566698619,35,0,100.0
59,15771.817739541,1770,0.6497015419669625,0.8396949231624603,35,0,100.0
60,16064.859621458,1800,0.6489212703132293,0.9787451586553029,35,0,100.0
61,16356.549853333,1830,0.6518652952370116,0.9200646878353187,35,0,100.0
62,16665.85857025,1860,0.6511697832414799,0.9473668856280191,35,0,100.0
63,16972.676064333,1890,0.65157359948879,0.8645580660019602,35,0,100.0
64,17309.654307041,1920,0.6509463245470535,0.9422241550471101,35,0,100.0
65,17609.527872833,1950,0.6546663717416659,0.8338937527367047,35,0,100.0
66,17948.050402166,1980,0.6545133456094951,0.943235438636371,35,0,100.0
67,18271.997201333,2010,0.6571011318320128,0.8581457405218056,35,0,100.0
68,18622.863140583,2040,0.655792980851618,0.944523067346641,35,0,100.0
69,18956.12361725,2070,0.6587359504801027,0.8620930444981371,35,0,100.0
70,19318.484701333,2100,0.6569812660403709,0.9732966745538371,35,0,100.0
71,19671.66970975,2130,0.6594184067906891,0.9452413378017289,35,0,100.0
72,20014.925554833,2160,0.6592765172156659,0.9156636944838933,35,0,100.0
73,20355.029133916,2190,0.6567369830719909,0.8918689514909471,35,0,100.0
74,20705.272138041,2220,0.6570802659178369,0.9436424093587058,35,0,100.0
75,21055.39073775,2250,0.657362400261387,0.9470456285136086,35,0,100.0
76,21400.044111208,2280,0.6606605093732548,0.9199729930077281,35,0,100.0
77,21739.304315916,2310,0.6582192545603373,0.8963190521512713,35,0,100.0
78,22084.053224541,2340,0.6590131659738038,0.9230807683297566,35,0,100.0
79,22426.076813083,2370,0.6584647265824802,0.8968883412224906,35,0,100.0
80,22766.381295208,2400,0.6584459427466091,0.9277776062488556,35,0,100.0
81,23098.992765541,2430,0.6578259188704462,0.8999470676694598,35,0,100.0
82,23449.713068583,2460,0.6577681223039379,0.9318299793771335,35,0,100.0
83,23818.353870916,2490,0.658426733491262,0.932570461503097,35,0,100.0
84,24240.282929333,2520,0.6581036114387783,0.963538048522813,35,0,100.0
85,25370.082200041,2550,0.6569557844291851,0.939819184584277,35,0,100.0
86,26652.0409695,2580,0.6571992695199464,0.9674954337733133,35,0,100.0
87,27642.20073,2610,0.6573237195201879,0.9434798370514598,35,0,100.0
88,28526.8399875,2640,0.6576015079011172,0.9738541147538594,35,0,100.0
89,28893.084707333,2670,0.6567684007731047,0.9767118611506054,35,0,100.0
90,29261.405248208,2700,0.656890337042773,0.983823165510382,35,0,100.0
91,29600.544707041,2730,0.6573261258286633,0.8988063452499253,35,0,100.0
92,29956.616949791,2760,0.6552127926785961,0.9795274010726384,35,0,100.0
93,30293.101092708,2790,0.6548298765925379,0.933086185157299,35,0,100.0
94,30651.626004583,2820,0.6556209504660915,0.9964181770171437,35,0,100.0
95,30970.68093675,2850,0.6551906013385187,0.9653438393558774,35,0,100.0
96,31302.705218833,2880,0.6542307302374164,0.999149723989623,35,0,100.0
97,31610.328136833,2910,0.6530818980301412,0.9438614547252655,35,0,100.0
98,31934.171077,2940,0.6521254449617182,1.0426725204501832,35,0,100.0
99,32238.407694958,2970,0.6547277611258725,0.9549777397087642,35,0,100.0
100,32550.62244425,3000,0.652929570551272,1.0153320172003337,35,0,100.0
