Round,Real Time[s],Sim Time[s],Accuracy,Loss,receved,failue,p_rate[%]
1,179.2687491,35,0.095309531,2.301888943,6,17,26.08695652
2,483.670343,70,0.152915292,2.299839258,16,19,45.71428571
3,809.0433704,105,0.161116112,2.295995712,18,17,51.42857143
4,1148.055485,140,0.189718972,2.281607151,19,16,54.28571429
5,1473.649499,175,0.250825083,2.128577709,16,19,45.71428571
6,1819.69664,210,0.309030903,1.92310214,20,15,57.14285714
7,2137.885811,245,0.348534853,1.798522115,16,19,45.71428571
8,2473.28554,280,0.379037904,1.69428575,15,20,42.85714286
9,2808.728995,315,0.405640564,1.618423343,16,19,45.71428571
10,3146.870841,350,0.425642564,1.565445185,16,19,45.71428571
11,3489.10144,385,0.440744074,1.52673173,17,18,48.57142857
12,3815.215941,420,0.455545555,1.497810125,16,19,45.71428571
13,4126.147249,455,0.465846585,1.472922683,14,21,40
14,4458.528798,490,0.475747575,1.449200988,17,18,48.57142857
15,4787.970705,525,0.483248325,1.426349163,16,19,45.71428571
16,5117.27975,560,0.492049205,1.404450536,17,18,48.57142857
17,5426.639254,595,0.498449845,1.383153439,14,21,40
18,5768.689782,630,0.507750775,1.363010645,17,18,48.57142857
19,6071.347359,665,0.516351635,1.344341755,13,22,37.14285714
20,6393.878498,700,0.521652165,1.325796604,16,19,45.71428571
21,6725.534085,735,0.528952895,1.309692383,15,20,42.85714286
22,7067.925267,770,0.534453445,1.294460297,18,17,51.42857143
23,7387.40057,805,0.535153515,1.280299067,14,21,40
24,7732.31311,840,0.542554255,1.265820622,17,18,48.57142857
25,8067.4874,875,0.547154715,1.251650214,16,19,45.71428571
26,8417.952493,910,0.550555056,1.239093184,17,18,48.57142857
27,8742.502205,945,0.556755676,1.226820588,15,20,42.85714286
28,9093.492247,980,0.560056006,1.215276718,16,19,45.71428571
29,9415.083071,1015,0.566856686,1.203530312,14,21,40
30,9765.008508,1050,0.570557056,1.193569064,19,16,54.28571429
31,10092.09603,1085,0.573557356,1.182053804,16,19,45.71428571
32,10453.15816,1120,0.579557956,1.17285192,21,14,60
33,10767.6003,1155,0.583258326,1.163850188,14,21,40
34,11061.10427,1190,0.586158616,1.15495944,19,16,54.28571429
35,11328.4236,1225,0.587858786,1.146445513,13,22,37.14285714
36,11618.4085,1260,0.592759276,1.138146043,17,18,48.57142857
37,11921.50179,1295,0.592659266,1.131129861,14,21,40
38,12262.06511,1330,0.594259426,1.124885917,15,20,42.85714286
39,12588.4811,1365,0.600760076,1.117882848,16,19,45.71428571
40,12910.26062,1400,0.602860286,1.111647606,18,17,51.42857143
41,13205.91674,1435,0.604160416,1.106515884,16,19,45.71428571
42,13497.48501,1470,0.605360536,1.101016521,17,18,48.57142857
43,13784.46537,1505,0.610761076,1.094928622,16,19,45.71428571
44,14066.95736,1540,0.610461046,1.091121793,18,17,51.42857143
45,14337.13708,1575,0.610761076,1.086602688,15,20,42.85714286
46,14637.22059,1610,0.612761276,1.081549406,18,17,51.42857143
47,14929.53743,1645,0.615261526,1.077610612,16,19,45.71428571
48,15268.56281,1680,0.618161816,1.075113297,17,18,48.57142857
49,15600.96262,1715,0.619761976,1.07139957,15,20,42.85714286
50,15933.42307,1750,0.621362136,1.067413211,16,19,45.71428571
51,16275.15584,1785,0.623462346,1.063837647,15,20,42.85714286
52,16615.44757,1820,0.622262226,1.062231183,17,18,48.57142857
53,16942.34849,1855,0.625962596,1.058332086,15,20,42.85714286
54,17281.70705,1890,0.625562556,1.055746317,15,20,42.85714286
55,17593.20937,1925,0.626962696,1.054085851,13,22,37.14285714
56,17946.22911,1960,0.627062706,1.052379966,17,18,48.57142857
57,18263.87726,1995,0.628262826,1.050829411,15,20,42.85714286
58,18599.59714,2030,0.630463046,1.048907399,18,17,51.42857143
59,18923.26883,2065,0.631963196,1.047855616,13,22,37.14285714
60,19283.08307,2100,0.634063406,1.046042442,22,13,62.85714286
61,19630.41393,2135,0.634163416,1.044395804,17,18,48.57142857
62,19976.9658,2170,0.634663466,1.044431806,19,16,54.28571429
63,20293.52287,2205,0.636463646,1.043380141,13,22,37.14285714
64,20636.13719,2240,0.637663766,1.042862773,17,18,48.57142857
65,20947.76564,2275,0.638363836,1.041974425,14,21,40
66,21294.0815,2310,0.638463846,1.04120183,15,20,42.85714286
67,21609.66664,2345,0.640564056,1.042323947,13,22,37.14285714
68,21939.42854,2380,0.642064206,1.042172432,18,17,51.42857143
69,22259.81298,2415,0.642064206,1.041938424,16,19,45.71428571
70,22622.13912,2450,0.641464146,1.04376483,21,14,60
71,22958.01546,2485,0.641964196,1.043442488,17,18,48.57142857
72,23297.32546,2520,0.642264226,1.043318748,16,19,45.71428571
73,23620.68219,2555,0.643664366,1.043823719,15,20,42.85714286
74,23957.73626,2590,0.643164316,1.045817256,17,18,48.57142857
75,24308.69653,2625,0.643364336,1.046673775,17,18,48.57142857
76,24637.9242,2660,0.643564356,1.048988342,16,19,45.71428571
