Round,Sim Time [s],Loss,Accuracy,prog [%]
1,49,1.9059172642230988,0.10175015087507544,82.86
2,107,1.8996286843061447,0.18491249245624622,82.86
3,166,1.9184811426520347,0.21316065803290166,85.72
4,224,1.6576263971179723,0.2738684369342185,82.86
5,282,1.557142815734446,0.3167169583584792,82.86
6,340,1.4748437170162796,0.35027157513578755,82.86
7,398,1.4033569841109217,0.3780325890162945,82.86
8,457,1.3512737393751741,0.39903439951719977,82.86
9,515,1.3072011727374047,0.4226916113458057,82.86
10,573,1.2696809899304062,0.4412794206397103,82.86
11,631,1.2370972784763201,0.459987929993965,82.86
12,689,1.208266768115852,0.4751961375980688,82.86
13,748,1.1811705300907605,0.48750754375377187,82.86
14,806,1.1577648613575846,0.49776704888352447,82.86
15,864,1.1372234632922802,0.5071816535908268,82.86
16,922,1.118833900300367,0.5153892576946288,82.86
17,981,1.1439933841003804,0.5211760588029402,85.72
18,1039,1.088014579174854,0.5299939649969825,82.86
19,1097,1.0721245051542063,0.5395292697646349,82.86
20,1155,1.057846643359249,0.5449607724803862,82.86
21,1213,1.044812621021783,0.5460470730235365,82.86
22,1272,1.0708404242943972,0.551977598879944,85.72
23,1330,1.019979116445285,0.5567893783946892,82.86
24,1388,1.00825692897017,0.5631864815932408,82.86
25,1446,0.9982031819318538,0.5698249849124924,82.86
26,1504,0.9881013063759078,0.5730838865419433,82.86
27,1563,0.9797796279451403,0.5789981894990948,82.86
28,1621,0.9714266386943288,0.5810500905250453,82.86
29,1679,0.961406133840853,0.5857573928786964,82.86
30,1737,0.95365560321628,0.5911888955944478,82.86
31,1795,0.946751271930436,0.5956547978273989,82.86
32,1854,0.9393951862312824,0.6002414001207,82.86
33,1912,0.9326057569237776,0.6027761013880507,82.86
34,1970,0.9259031344663236,0.6068799034399517,82.86
35,2028,0.9196008352408913,0.6111044055522028,82.86
36,2086,0.9133503098532033,0.6135184067592033,82.86
37,2145,0.9081910065956356,0.616173808086904,82.86
38,2203,0.9025376855711118,0.6165359082679541,82.86
39,2261,0.8985647202292486,0.6165359082679541,82.86
40,2319,0.8929109195373516,0.6191913095956548,82.86
41,2378,0.9226399886057203,0.6187142690467857,85.72
42,2436,0.8837489368039533,0.6228123114061557,82.86
43,2494,0.8798792349870637,0.624260712130356,82.86
44,2552,0.8770221814971897,0.6243814121907061,82.86
45,2610,0.8736336388356416,0.6254677127338564,82.86
46,2669,0.9037613765243412,0.6266479990666199,85.72
47,2727,0.8662997380000488,0.6308992154496077,82.86
48,2785,0.8634998288206691,0.6305371152685576,82.86
49,2843,0.8607730334787419,0.6333132166566083,82.86
50,2901,0.8579356857687984,0.635727217863609,82.86
51,2960,0.8552788002723799,0.6372963186481593,82.86
52,3018,0.8537062647809893,0.6404345202172601,82.86
53,3076,0.852788020827905,0.64007242003621,82.86
54,3134,0.849178621321523,0.6403138201569101,82.86
55,3192,0.8479151436737077,0.6417622208811105,82.86
56,3251,0.8465924575976572,0.6453832226916113,82.86
57,3309,0.8451920479744723,0.6449004224502112,82.86
58,3367,0.844967616893295,0.643814121907061,82.86
59,3425,0.8431808518832953,0.6464695232347616,82.86
60,3484,0.8755883761217196,0.6451989266129973,85.72
61,3542,0.8416046315142764,0.6477972238986119,82.86
62,3600,0.8408105600758142,0.647917923958962,82.86
63,3658,0.8415827247287356,0.6490042245021123,82.86
64,3716,0.8394479803532573,0.6500905250452625,82.86
65,3775,0.8732996773968542,0.6491657916229144,85.72
66,3833,0.840329648602976,0.6504526252263126,82.86
67,3891,0.8405956374964999,0.6522631261315631,82.86
68,3949,0.8413157400286012,0.6508147254073627,82.86
69,4007,0.8412929946090335,0.6502112251056126,82.86
70,4066,0.8752205854885328,0.6504491891261229,85.72
71,4124,0.8432008351452174,0.6534701267350633,82.86
72,4182,0.8443580492451751,0.651901025950513,82.86
73,4240,0.8440143459978353,0.6543150271575136,82.86
74,4298,0.8455507179361981,0.6520217260108631,82.86
75,4357,0.846699012630276,0.651780325890163,82.86
76,4415,0.8493112500730263,0.6512975256487629,82.86
77,4473,0.8498133787649398,0.6509354254677128,82.86
78,4531,0.8526143010165068,0.6520217260108631,82.86
79,4589,0.853020472986249,0.6512975256487629,82.86
80,4648,0.8562543233496032,0.6504526252263126,82.86
81,4706,0.8566944113631687,0.6492456246228123,82.86
82,4764,0.8595822807661676,0.651901025950513,82.86
83,4822,0.8604173884646685,0.6527459263729631,82.86
84,4881,0.8955188666828068,0.6504491891261229,85.72
85,4939,0.8672498732690274,0.6506940253470127,82.86
86,4997,0.8703917400308897,0.6520217260108631,82.86
87,5055,0.8724433248736403,0.6504526252263126,82.86
88,5113,0.8762541254258819,0.6506940253470127,82.86
89,5172,0.9117307152969937,0.6488157741220394,85.72
90,5230,0.8821308829042113,0.6520217260108631,82.86
91,5288,0.8879775325096784,0.6508147254073627,82.86
92,5346,0.8901250070738526,0.6496077248038624,82.86
93,5404,0.8942902746941997,0.6506940253470127,82.86
94,5463,0.8997476941495597,0.6505733252866627,82.86
95,5521,0.9030029182864919,0.6503319251659626,82.86
96,5579,0.9074766183584676,0.6497284248642125,82.86
97,5637,0.9116117848099695,0.6497284248642125,82.86
98,5695,0.9143505976063885,0.6499698249849125,82.86
99,5754,0.9195029261629984,0.6488835244417622,82.86
100,5812,0.9262529783928741,0.6487628243814122,82.86
