INFO flwr 2023-04-09 02:34:08,441 | app.py:139 | Starting Flower server, config: ServerConfig(num_rounds=100, round_timeout=6000)
INFO flwr 2023-04-09 02:34:08,447 | app.py:152 | Flower ECE: gRPC server running (100 rounds), SSL is disabled
INFO flwr 2023-04-09 02:34:08,447 | server.py:86 | Initializing global parameters
INFO flwr 2023-04-09 02:34:08,447 | server.py:270 | Requesting initial parameters from one random client
INFO flwr 2023-04-09 02:34:11,578 | server.py:274 | Received initial parameters from one random client
INFO flwr 2023-04-09 02:34:11,578 | server.py:88 | Evaluating initial parameters
INFO flwr 2023-04-09 02:34:11,578 | server.py:101 | FL starting
DEBUG flwr 2023-04-09 02:34:11,578 | server.py:215 | fit_round 1: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 02:34:16,895 | server.py:229 | fit_round 1 received 1 results and 0 failures
WARNING flwr 2023-04-09 02:34:16,898 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
DEBUG flwr 2023-04-09 02:34:16,898 | server.py:165 | evaluate_round 1: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 02:34:27,211 | server.py:179 | evaluate_round 1 received 1 results and 0 failures
DEBUG flwr 2023-04-09 02:34:27,211 | server.py:215 | fit_round 2: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 02:34:32,282 | server.py:229 | fit_round 2 received 1 results and 0 failures
DEBUG flwr 2023-04-09 02:34:32,283 | server.py:165 | evaluate_round 2: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 02:34:42,472 | server.py:179 | evaluate_round 2 received 1 results and 0 failures
DEBUG flwr 2023-04-09 02:34:42,472 | server.py:215 | fit_round 3: strategy sampled 1 clients (out of 1)
DEBUG flwr 2023-04-09 02:34:47,604 | server.py:229 | fit_round 3 received 1 results and 0 failures
DEBUG flwr 2023-04-09 02:34:47,606 | server.py:165 | evaluate_round 3: strategy sampled 1 clients (out of 1)
