INFO flwr 2023-04-13 02:52:17,226 | app.py:139 | Starting Flower server, config: ServerConfig(num_rounds=100, round_timeout=3500)
INFO flwr 2023-04-13 02:52:17,233 | app.py:152 | Flower ECE: gRPC server running (100 rounds), SSL is disabled
INFO flwr 2023-04-13 02:52:17,233 | server.py:86 | Initializing global parameters
INFO flwr 2023-04-13 02:52:17,234 | server.py:270 | Requesting initial parameters from one random client
INFO flwr 2023-04-13 02:52:21,648 | server.py:274 | Received initial parameters from one random client
INFO flwr 2023-04-13 02:52:21,648 | server.py:88 | Evaluating initial parameters
INFO flwr 2023-04-13 02:52:21,649 | server.py:101 | FL starting
DEBUG flwr 2023-04-13 02:52:21,649 | server.py:215 | fit_round 1: strategy sampled 2 clients (out of 2)
DEBUG flwr 2023-04-13 02:52:34,316 | server.py:229 | fit_round 1 received 2 results and 0 failures
WARNING flwr 2023-04-13 02:52:34,323 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
DEBUG flwr 2023-04-13 02:52:34,324 | server.py:165 | evaluate_round 1: strategy sampled 27 clients (out of 27)
DEBUG flwr 2023-04-13 02:54:43,068 | server.py:179 | evaluate_round 1 received 27 results and 0 failures
DEBUG flwr 2023-04-13 02:54:43,068 | server.py:215 | fit_round 2: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 02:55:34,423 | server.py:229 | fit_round 2 received 34 results and 0 failures
DEBUG flwr 2023-04-13 02:55:34,456 | server.py:165 | evaluate_round 2: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 02:58:33,681 | server.py:179 | evaluate_round 2 received 34 results and 0 failures
DEBUG flwr 2023-04-13 02:58:33,681 | server.py:215 | fit_round 3: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 02:59:25,632 | server.py:229 | fit_round 3 received 34 results and 0 failures
DEBUG flwr 2023-04-13 02:59:25,667 | server.py:165 | evaluate_round 3: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 03:02:37,395 | server.py:179 | evaluate_round 3 received 34 results and 0 failures
DEBUG flwr 2023-04-13 03:02:37,396 | server.py:215 | fit_round 4: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 03:03:28,487 | server.py:229 | fit_round 4 received 34 results and 0 failures
DEBUG flwr 2023-04-13 03:03:28,522 | server.py:165 | evaluate_round 4: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 03:06:40,225 | server.py:179 | evaluate_round 4 received 34 results and 0 failures
DEBUG flwr 2023-04-13 03:06:40,225 | server.py:215 | fit_round 5: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 03:07:30,379 | server.py:229 | fit_round 5 received 34 results and 0 failures
DEBUG flwr 2023-04-13 03:07:30,412 | server.py:165 | evaluate_round 5: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 03:10:41,944 | server.py:179 | evaluate_round 5 received 34 results and 0 failures
DEBUG flwr 2023-04-13 03:10:41,945 | server.py:215 | fit_round 6: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 03:11:32,295 | server.py:229 | fit_round 6 received 34 results and 0 failures
DEBUG flwr 2023-04-13 03:11:32,329 | server.py:165 | evaluate_round 6: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 03:14:45,505 | server.py:179 | evaluate_round 6 received 34 results and 0 failures
DEBUG flwr 2023-04-13 03:14:45,505 | server.py:215 | fit_round 7: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 03:15:35,230 | server.py:229 | fit_round 7 received 34 results and 0 failures
DEBUG flwr 2023-04-13 03:15:35,263 | server.py:165 | evaluate_round 7: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 03:18:48,572 | server.py:179 | evaluate_round 7 received 34 results and 0 failures
DEBUG flwr 2023-04-13 03:18:48,572 | server.py:215 | fit_round 8: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 03:19:39,425 | server.py:229 | fit_round 8 received 34 results and 0 failures
DEBUG flwr 2023-04-13 03:19:39,477 | server.py:165 | evaluate_round 8: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 03:22:51,129 | server.py:179 | evaluate_round 8 received 34 results and 0 failures
DEBUG flwr 2023-04-13 03:22:51,129 | server.py:215 | fit_round 9: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 03:23:42,955 | server.py:229 | fit_round 9 received 34 results and 0 failures
DEBUG flwr 2023-04-13 03:23:42,988 | server.py:165 | evaluate_round 9: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 03:27:10,539 | server.py:179 | evaluate_round 9 received 34 results and 0 failures
DEBUG flwr 2023-04-13 03:27:10,539 | server.py:215 | fit_round 10: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 03:28:00,646 | server.py:229 | fit_round 10 received 34 results and 0 failures
DEBUG flwr 2023-04-13 03:28:00,679 | server.py:165 | evaluate_round 10: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 03:31:28,725 | server.py:179 | evaluate_round 10 received 34 results and 0 failures
