Round,Sim Time [s],Loss,Accuracy,prog [%]
1,49,inf,0,0
2,110,inf,0,0
3,171,inf,0,0
4,233,inf,0,0
5,294,inf,0,0
6,355,inf,0,0
7,416,inf,0,0
8,477,inf,0,0
9,539,inf,0,0
10,600,inf,0,0
11,661,inf,0,0
12,722,inf,0,0
13,783,inf,0,0
14,844,inf,0,0
15,906,inf,0,0
16,967,inf,0,0
17,1028,inf,0,0
18,1089,inf,0,0
19,1150,inf,0,0
20,1211,inf,0,0
21,1273,inf,0,0
22,1334,inf,0,0
23,1395,inf,0,0
24,1456,inf,0,0
25,1517,inf,0,0
26,1579,inf,0,0
27,1640,inf,0,0
28,1701,inf,0,0
29,1762,inf,0,0
30,1823,inf,0,0
31,1884,inf,0,0
32,1946,inf,0,0
33,2007,inf,0,0
34,2068,inf,0,0
35,2129,inf,0,0
36,2190,inf,0,0
37,2251,inf,0,0
38,2313,inf,0,0
39,2374,inf,0,0
40,2435,inf,0,0
41,2496,inf,0,0
42,2557,inf,0,0
43,2618,inf,0,0
44,2680,inf,0,0
45,2741,inf,0,0
46,2802,inf,0,0
47,2863,inf,0,0
48,2924,inf,0,0
49,2986,inf,0,0
50,3047,inf,0,0
51,3108,inf,0,0
52,3169,inf,0,0
53,3230,inf,0,0
54,3291,inf,0,0
55,3353,inf,0,0
56,3414,inf,0,0
57,3475,inf,0,0
58,3536,inf,0,0
59,3597,inf,0,0
60,3658,inf,0,0
61,3720,inf,0,0
62,3781,inf,0,0
63,3842,inf,0,0
64,3903,inf,0,0
65,3964,inf,0,0
66,4026,inf,0,0
67,4087,inf,0,0
68,4148,inf,0,0
69,4209,inf,0,0
70,4270,inf,0,0
71,4331,inf,0,0
72,4393,inf,0,0
73,4454,inf,0,0
74,4515,inf,0,0
75,4576,inf,0,0
76,4637,inf,0,0
77,4698,inf,0,0
78,4760,inf,0,0
79,4821,inf,0,0
80,4882,inf,0,0
81,4943,inf,0,0
82,5004,inf,0,0
83,5065,inf,0,0
84,5127,inf,0,0
85,5188,inf,0,0
86,5249,inf,0,0
87,5310,inf,0,0
88,5371,inf,0,0
89,5433,inf,0,0
90,5494,inf,0,0
91,5555,inf,0,0
92,5616,inf,0,0
93,5677,inf,0,0
94,5738,inf,0,0
95,5800,inf,0,0
96,5861,inf,0,0
97,5922,inf,0,0
98,5983,inf,0,0
99,6044,inf,0,0
