Round,Real Time[s],Sim Time[s],Accuracy,Loss,receved,failue,p_rate[%]
1,146.950476,35,0,,0,27,0
2,377.56085,70,0,,0,34,0
3,621.272415,105,0,,0,34,0
4,864.1062743,140,0,,0,34,0
5,1105.824454,175,0,,0,34,0
6,1349.383632,210,0,,0,34,0
7,1592.449778,245,0,,0,34,0
8,1835.00501,280,0,,0,34,0
9,2094.414071,315,0,,0,34,0
10,2352.599236,350,0,,0,34,0
11,2608.718744,385,0,,0,34,0
12,2867.966089,420,0,,0,34,0
13,3126.369389,455,0,,0,34,0
14,3383.15309,490,0,,0,34,0
15,3639.705385,525,0,,0,34,0
16,3898.558815,560,0,,0,34,0
17,4156.948936,595,0,,0,34,0
18,4415.875662,630,0,,0,34,0
19,4673.431191,665,0,,0,34,0
20,4930.716732,700,0,,0,34,0
21,5189.832526,735,0,,0,34,0
22,5447.425944,770,0,,0,34,0
23,5707.189266,805,0,,0,34,0
24,5964.581265,840,0,,0,34,0
25,6220.635975,875,0,,0,34,0
26,6476.559258,910,0,,0,34,0
27,6735.297339,945,0,,0,34,0
28,6991.509113,980,0,,0,34,0
29,7249.707814,1015,0,,0,34,0
30,7508.023541,1050,0,,0,34,0
31,7767.131399,1085,0,,0,34,0
32,8025.286535,1120,0,,0,34,0
33,8284.584886,1155,0,,0,34,0
34,8542.904977,1190,0,,0,34,0
35,8799.984667,1225,0,,0,34,0
36,9058.035198,1260,0,,0,34,0
37,9316.167027,1295,0,,0,34,0
38,9573.232323,1330,0,,0,34,0
39,9832.063429,1365,0,,0,34,0
40,10093.39153,1400,0,,0,34,0
41,10350.56681,1435,0,,0,34,0
42,10608.68281,1470,0,,0,34,0
43,10865.51914,1505,0,,0,34,0
44,11123.29129,1540,0,,0,34,0
45,11383.45985,1575,0,,0,34,0
46,11631.32772,1610,0,,0,34,0
47,11855.32322,1645,0,,0,34,0
48,12078.96337,1680,0,,0,34,0
49,12301.62631,1715,0,,0,34,0
50,12524.36364,1750,0,,0,34,0
51,12750.78267,1785,0,,0,34,0
52,12976.594,1820,0,,0,34,0
53,13201.3892,1855,0,,0,34,0
54,13425.70596,1890,0,,0,34,0
55,13650.54816,1925,0,,0,34,0
56,13875.90116,1960,0,,0,34,0
57,14098.89247,1995,0,,0,34,0
58,14323.84519,2030,0,,0,34,0
59,14551.79005,2065,0,,0,34,0
60,14778.50404,2100,0,,0,34,0
61,15005.61263,2135,0,,0,34,0
62,15231.04019,2170,0,,0,34,0
63,15456.33556,2205,0,,0,34,0
64,15681.10765,2240,0,,0,34,0
65,15906.40439,2275,0,,0,34,0
66,16130.57879,2310,0,,0,34,0
67,16355.0868,2345,0,,0,34,0
68,16580.06305,2380,0,,0,34,0
69,16807.04541,2415,0,,0,34,0
70,17032.61554,2450,0,,0,34,0
71,17258.41855,2485,0,,0,34,0
72,17482.29053,2520,0,,0,34,0
73,17706.57583,2555,0,,0,34,0
74,17934.49088,2590,0,,0,34,0
75,18160.67876,2625,0,,0,34,0
76,18385.72825,2660,0,,0,34,0
77,18610.08548,2695,0,,0,34,0
78,18834.43544,2730,0,,0,34,0
79,19058.47379,2765,0,,0,34,0
80,19281.757,2800,0,,0,34,0
81,19507.18474,2835,0,,0,34,0
82,19730.58487,2870,0,,0,34,0
83,19958.34459,2905,0,,0,34,0
84,20184.01913,2940,0,,0,34,0
85,20408.75906,2975,0,,0,34,0
86,20633.3676,3010,0,,0,34,0
87,20858.36354,3045,0,,0,34,0
88,21081.39296,3080,0,,0,34,0
89,21305.33048,3115,0,,0,34,0
90,21531.74814,3150,0,,0,34,0
91,21759.15844,3185,0,,0,34,0
92,21984.53123,3220,0,,0,34,0
93,22208.00534,3255,0,,0,34,0
94,22432.52169,3290,0,,0,34,0
95,22658.03707,3325,0,,0,34,0
96,22881.54169,3360,0,,0,34,0
97,23107.17649,3395,0,,0,34,0
98,23330.98385,3430,0,,0,34,0
99,23556.90376,3465,0,,0,34,0
100,23781.80403,3500,0,,0,34,0
