INFO flower 2022-12-22 15:28:45,190 | app.py:131 | Starting Flower server, config: ServerConfig(num_rounds=100, round_timeout=300)
INFO flower 2022-12-22 15:28:45,198 | app.py:144 | Flower ECE: gRPC server running (100 rounds), SSL is disabled
INFO flower 2022-12-22 15:28:45,198 | server.py:86 | Initializing global parameters
INFO flower 2022-12-22 15:28:45,198 | server.py:270 | Requesting initial parameters from one random client
INFO flower 2022-12-22 15:28:51,252 | server.py:274 | Received initial parameters from one random client
INFO flower 2022-12-22 15:28:51,252 | server.py:88 | Evaluating initial parameters
INFO flower 2022-12-22 15:28:51,252 | server.py:101 | FL starting
DEBUG flower 2022-12-22 15:28:54,244 | server.py:215 | fit_round 1: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 15:31:52,927 | server.py:229 | fit_round 1 received 2 results and 0 failures
WARNING flower 2022-12-22 15:31:52,931 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
DEBUG flower 2022-12-22 15:31:52,931 | server.py:165 | evaluate_round 1: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 15:32:21,154 | server.py:179 | evaluate_round 1 received 2 results and 0 failures
WARNING flower 2022-12-22 15:32:21,154 | fedavg.py:273 | No evaluate_metrics_aggregation_fn provided
DEBUG flower 2022-12-22 15:32:21,154 | server.py:215 | fit_round 2: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 15:35:00,510 | server.py:229 | fit_round 2 received 2 results and 0 failures
DEBUG flower 2022-12-22 15:35:00,512 | server.py:165 | evaluate_round 2: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 15:35:29,760 | server.py:179 | evaluate_round 2 received 2 results and 0 failures
DEBUG flower 2022-12-22 15:35:29,760 | server.py:215 | fit_round 3: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 15:38:54,045 | server.py:229 | fit_round 3 received 2 results and 0 failures
DEBUG flower 2022-12-22 15:38:54,047 | server.py:165 | evaluate_round 3: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 15:39:35,507 | server.py:179 | evaluate_round 3 received 2 results and 0 failures
DEBUG flower 2022-12-22 15:39:35,508 | server.py:215 | fit_round 4: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 15:43:05,044 | server.py:229 | fit_round 4 received 2 results and 0 failures
DEBUG flower 2022-12-22 15:43:05,047 | server.py:165 | evaluate_round 4: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 15:43:40,923 | server.py:179 | evaluate_round 4 received 2 results and 0 failures
DEBUG flower 2022-12-22 15:43:40,923 | server.py:215 | fit_round 5: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 15:46:34,261 | server.py:229 | fit_round 5 received 2 results and 0 failures
DEBUG flower 2022-12-22 15:46:34,263 | server.py:165 | evaluate_round 5: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 15:47:13,911 | server.py:179 | evaluate_round 5 received 2 results and 0 failures
DEBUG flower 2022-12-22 15:47:13,911 | server.py:215 | fit_round 6: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 15:50:23,834 | server.py:229 | fit_round 6 received 2 results and 0 failures
DEBUG flower 2022-12-22 15:50:23,837 | server.py:165 | evaluate_round 6: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 15:51:00,399 | server.py:179 | evaluate_round 6 received 2 results and 0 failures
DEBUG flower 2022-12-22 15:51:00,399 | server.py:215 | fit_round 7: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 15:54:01,009 | server.py:229 | fit_round 7 received 2 results and 0 failures
DEBUG flower 2022-12-22 15:54:01,012 | server.py:165 | evaluate_round 7: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 15:54:37,287 | server.py:179 | evaluate_round 7 received 2 results and 0 failures
DEBUG flower 2022-12-22 15:54:37,288 | server.py:215 | fit_round 8: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 15:58:09,280 | server.py:229 | fit_round 8 received 2 results and 0 failures
DEBUG flower 2022-12-22 15:58:09,283 | server.py:165 | evaluate_round 8: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 15:58:48,811 | server.py:179 | evaluate_round 8 received 2 results and 0 failures
DEBUG flower 2022-12-22 15:58:48,811 | server.py:215 | fit_round 9: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 16:02:59,693 | server.py:229 | fit_round 9 received 2 results and 0 failures
DEBUG flower 2022-12-22 16:02:59,695 | server.py:165 | evaluate_round 9: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 16:03:35,506 | server.py:179 | evaluate_round 9 received 2 results and 0 failures
DEBUG flower 2022-12-22 16:03:35,506 | server.py:215 | fit_round 10: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 16:06:25,459 | server.py:229 | fit_round 10 received 2 results and 0 failures
DEBUG flower 2022-12-22 16:06:25,461 | server.py:165 | evaluate_round 10: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 16:07:05,032 | server.py:179 | evaluate_round 10 received 2 results and 0 failures
DEBUG flower 2022-12-22 16:07:05,032 | server.py:215 | fit_round 11: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 16:10:10,325 | server.py:229 | fit_round 11 received 2 results and 0 failures
DEBUG flower 2022-12-22 16:10:10,328 | server.py:165 | evaluate_round 11: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 16:10:46,428 | server.py:179 | evaluate_round 11 received 2 results and 0 failures
DEBUG flower 2022-12-22 16:10:46,428 | server.py:215 | fit_round 12: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 16:13:43,632 | server.py:229 | fit_round 12 received 2 results and 0 failures
DEBUG flower 2022-12-22 16:13:43,634 | server.py:165 | evaluate_round 12: strategy sampled 2 clients (out of 2)
DEBUG flower 2022-12-22 16:14:22,463 | server.py:179 | evaluate_round 12 received 2 results and 0 failures
